model,setting,n,xrasa_mean,xrasa_std,r_mean,a_mean,s_judge_mean,clr_mean,rank_xrasa,rank_clr
Chat-GPT,few_shot,25,0.442047,0.297532,0.680000,0.994094,0.210000,0.162381,3,5
Chat-GPT,zero_shot,25,0.420000,0.259908,0.680000,1.000000,0.160000,0.295778,3,3
Claude,few_shot,25,0.784094,0.192318,0.960000,0.994094,0.620000,0.023492,1,2
Claude,zero_shot,25,0.750000,0.135015,1.000000,1.000000,0.500000,0.028333,1,2
DeepSeek-R1,few_shot,25,0.060000,0.108972,0.040000,0.938237,0.080000,0.152778,5,3
DeepSeek-R1,zero_shot,25,0.157047,0.234079,0.320000,0.906329,0.000000,0.484524,4,4
Gemini,few_shot,25,0.755000,0.171087,0.960000,1.000000,0.550000,0.000000,2,1
Gemini,zero_shot,25,0.730000,0.278762,0.880000,1.000000,0.580000,0.015714,2,1
Llama 3.1: 8B,few_shot,25,0.140000,0.211394,0.240000,0.958023,0.040000,0.444238,4,6
Llama 3.1: 8B,zero_shot,25,0.157047,0.234079,0.320000,0.838384,0.000000,0.535794,5,5
Sailor2,few_shot,25,0.019030,0.039889,0.000000,0.810974,0.050000,0.155556,6,4
Sailor2,zero_shot,25,0.114431,0.192304,0.280000,0.847704,0.000000,0.755000,6,6
