id;text_pantun;kategori AI;Kategori Pakar
2;Ada anak gadis perawan\nPaling cantik di kampungnya\nHormatilah ibumu kawan\nAda surga di telapak kakinya;Pantun Agama;Pantun Agama
6;Ada arang merah membara\nArang dibuang tengah telaga\nAnugerah Allah tiada terkira\nMemberi kita hidup yang berharga;Pantun Agama;Pantun Agama
34;ada kambing dikejar kalong\nkambing berlari sampai kesasar\njanganlah engkau suka berbohong\nsebab bohong adalah dosa besar;Pantun Agama;Pantun Agama
41;ada masakan dari kentang\nberkumpul orang di tengah taman\nmembaca al quran setiap petang\nbersama keluarga dan temanteman;Pantun Agama;Pantun Agama
49;ada pak guru melihat waktu\nkeluar kelas bersama mamat\njangan lupakan sholat lima waktu\npahala berat di hari kiamat;Pantun Agama;Pantun Agama
84;adi dan rio ikut lomba panahan\nberjuang bersama dan jadi juara\ntaatilah selalu perintah tuhan\nagar hidupmu selamat sentosa;Pantun Agama;Pantun Agama
88;adik kecil belajar membaca\nlilin letakkan di atas meja\nhari sudah hampir senja\nsebentar lagi berbuka puasa;Pantun Agama;Pantun Agama
89;Adik kecil memetik biji\nBiji diolah menjadi kanji\nSejak kecil rajin mengaji\nSaat dewasa imannya teruji;Pantun Agama;Pantun Agama
92;adik kecil sukanya tengkurap\nsebelum bermain minumlah susu\nsebelum makanan habis dilahap\nmari kita sholat maghrib dahulu;Pantun Agama;Pantun Agama
109;air cuka bercampur pasta\nterkena mata jadi terluka\njangan suka berkata dusta\nkalau tak ingin masuk neraka;Pantun Agama;Pantun Agama
126;Air jernih di lubuk sepi\nIkan berkelip bermain cahaya\nJika iman menyuluh hati\nGelap nafsu sirna selamanya;Pantun Agama;Pantun Agama
136;air mata jatuh berderai\nkarena menonton film korea\nsebelum materi aku mulai\nmarilah serentak mengucap doa;Pantun Agama;Pantun Agama
143;air mengalir dari keran\nmengisi kolam tempak ikan\nmari kita menghafal al quran\npahala besar sudah disediakan;Pantun Agama;Pantun Agama
155;air pancuran jatuh berbusa\nbukit indah di atas kepala\norang pacaran mendapat dosa\norang menikah dapat pahala;Pantun Agama;Pantun Agama
165;Air segelas tolong ambilkan\nAir matang untuk sang Uwa\nAjaran puasa ayo kerjakan\nRaih pahala menggapai takwa;Pantun Agama;Pantun Agama
188;Air telaga jernih sekali\nTempat mandi anak desa\nJika hidup ingin berseri\nJauhkan diri dari dosa;Pantun Agama;Pantun Agama
196;akhir pekan pergi berkemah\nmasak nasi masihlah mentah\ndengarlah wahai para muslimah\nbelajarlah taat pada perintah;Pantun Agama;Pantun Agama
197;akhir tahun berganti musim\nangin kencang datang melanda\napa citacita seorang muslim\ntentu ingin memasuki surga;Pantun Agama;Pantun Agama
199;aku cinta kamu setulus hati\nkarena kamu sangat jujur\nuntuk yang menunaikan ibadah haji\nsemoga menjadi haji mabrur;Pantun Agama;Pantun Agama
202;aku mencari sebuah gergaji\nmalah aku temukan peniti\njikalau kita rajin mengaji\nsyurga indah akan menanti;Pantun Agama;Pantun Agama
212;ambil bambu buat sembilu\nterbang debu dari cerutu\nnamamu kusebut selalu\ndalam doa setiap waktu;Pantun Agama;Pantun Agama
222;ambil getah jadikan perekat\nuntuk mengelem layangan\njika kau ingin hidup selamat\ntaat selalu perintah tuhan;Pantun Agama;Pantun Agama
279;Anak ayam turun sepuluh\nMati satu tinggal sembilan\nBangun pagi sembahyang subuh\nAgar dapat ampunan tuhan;Pantun Agama;Pantun Agama
326;anak gembala bermain layang\nanak nelayan mencari ikan\ncinta yang ada takkan hilang\nsampai maut memisahkan;Pantun Agama;Pantun Agama
327;anak gembala bermain layang\nanak nelayan mencari ikan\njika ingin hidup tenang\njauhilah larangan tuhan;Pantun Agama;Pantun Agama
328;anak gembala bermain layangan\nlayangan putus masuk rawa\nkami sekeluarga mengucapkan\nselamat berbuka puasa pertama;Pantun Agama;Pantun Agama
336;Anak gembala meniup serunai\nBunyi merdu mengusir sepi\nJika hidup ingin pandai\nRajin bertanya dan mengaji;Pantun Agama;Pantun Agama
364;anak kecil berlari ke sawah\nuntuk bertemu ibu dan bibi\nbekerja itu yaitu ibadah\nberpahala di sisi ilahi;Pantun Agama;Pantun Agama
367;anak kecil bermain layanglayang\npulang ke rumah kerika sore hari\nkeluarga menjadi tempat berpulang\ndi hari raya yang fitri ini;Pantun Agama;Pantun Agama
372;anak kecil giginya ompong\ngigi ompong tumbuh perlahan\njanganlah engkau hidup sombong\nkarena itu dibenci tuhan;Pantun Agama;Pantun Agama
376;anak kecil mandi di kali\nsembari kembawa kain cucian\nkepada tuhan tempat kembali\njangan lupa mohon ampunan;Pantun Agama;Pantun Agama
388;Anak ketam bermain di bendang\nMenjuru seruling memujuk hati\nAnugerah tuhan sujana terbilang\nMengapa nikmat tidak disyukuri;Pantun Agama;Pantun Agama
