id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Daun keladi melambai lembut;Di tepian sungai, cahaya mentari berseri;2;Rima antara 'jasa' dan 'lembut' tidak terpenuhi, merusak struktur dasar pantun a-b-a-b. Selain itu, baris sampiran kedua terlalu panjang sehingga ritme puitisnya hilang
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Burung tekukur di rimba senja;Terbang merenung, sayapnya lembayung;2;Skema rima gagal total karena 'diri' tidak berima dengan 'senja'. Penggunaan personifikasi 'burung merenung' juga kurang tepat untuk sampiran klasik yang biasanya bersifat observasi alam objektif
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Sungai jernih membelah desa;Air mengalir tiada henti, bumi tunduk pada Ilahi;1;Rima hancur dan struktur kalimat terlalu naratif. Sampiran ini juga melanggar kriteria karena membocorkan substansi isi dengan menyebut 'Ilahi', yang seharusnya menjadi kejutan di bagian isi
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Embun pagi di pucuk kelapa;waktu terbit fajar, jiwa merindu;3;Rima baris pertama (meminta-kelapa) sudah tepat, namun rima kedua (aluan-merindu) meleset. Diksi 'jiwa merindu' terlalu subjektif dan emosional, kurang memenuhi syarat citraan alam yang netral.
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Kelopak melati di angkasa;Berkembang harum menyentuh bumi;1;Tidak ada keselarasan rima antara sampiran dan isi. Secara logika alam, 'melati di angkasa' sangat tidak natural dan terkesan dipaksakan hanya untuk mencari kesan puitis yang justru gagal
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Daun pandan melambai lembut;Wanginya memenuhi hutan rimba;2;Secara teknis gagal karena rima 'lembut' tidak selaras dengan 'taat' dan 'rimba' tidak berima dengan 'diri'. Citraan daun pandan cukup natural, namun struktur bunyi yang hancur menghilangkan nilai puitisnya.
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Gelombang laut menghempas karang;Riaknya menyapa pantai damai;1;Gagal total pada kriteria estetika rima (punya-karang, masa-damai). Sampiran ini lebih menyerupai potongan narasi deskriptif biasa dan tidak memiliki keterikatan bunyi yang menjadi ruh pantun lama
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Daun kelapa berayun merdu;Pucuk pinang menjulang tinggi;2;Citraan kelapa dan pinang sangat natural, namun rima baris pertama gagal (singgah-merdu). Hanya baris kedua yang berima (hati-tinggi), sehingga tidak memenuhi syarat keselarasan sampiran yang utuh
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Asap kelapa menari di angkasa;Membentuk awan, harapan bersemi;1;Rima tidak ada yang tepat. Selain itu, penggunaan frasa 'harapan bersemi' pada sampiran dianggap 'membocorkan isi' karena bersifat abstrak/emosional, bukan citraan alam objektif yang natural.
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Sungai jernih mengalir tenang;Hutan hijau seluas angkasa;1;idak memenuhi pola rima a-b-a-b (esa-tenang, rapi-angkasa). Walaupun mengambil citraan sungai dan hutan, tanpa struktur rima yang benar, nilai estetikanya sebagai sampiran pantun hilang
