model,setting,n,xrasa_mean,xrasa_std,r_mean,a_mean,s_judge_mean,clr_mean,rank_xrasa,rank_clr
Chat-GPT,few_shot,72,0.435437,0.219787,0.805556,0.992403,0.072917,0.233581,3,3
Chat-GPT,zero_shot,77,0.428571,0.203211,0.805195,1.000000,0.051948,0.312245,3,3
Claude,few_shot,29,0.744908,0.204063,0.965517,0.994908,0.534483,0.038930,1,2
Claude,zero_shot,38,0.664474,0.162084,1.000000,1.000000,0.328947,0.074353,1,2
DeepSeek-R1,few_shot,73,0.040085,0.114220,0.054795,0.919726,0.027397,0.242161,5,4
DeepSeek-R1,zero_shot,96,0.125784,0.214568,0.260417,0.886456,0.000000,0.488414,5,4
Gemini,few_shot,30,0.695833,0.221873,0.933333,1.000000,0.458333,0.025265,2,1
Gemini,zero_shot,34,0.625000,0.321278,0.823529,1.000000,0.426471,0.047409,2,1
Llama 3.1: 8B,few_shot,70,0.171429,0.233293,0.328571,0.956511,0.014286,0.551525,4,6
Llama 3.1: 8B,zero_shot,98,0.254644,0.247347,0.520408,0.868929,0.000000,0.655373,4,5
Sailor2,few_shot,76,0.011867,0.053933,0.013158,0.818616,0.016447,0.246674,6,5
Sailor2,zero_shot,99,0.070557,0.159158,0.171717,0.843816,0.000000,0.752241,6,6
