no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",Chat-GPT,few_shot,Hasil Few-shot,"Pagi ceria membawa bahagia
Burung pipit pulang sebelum mati",2,2,1,1.000000,0.375000,12,11,11,11,0,
26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu","Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu",Chat-GPT,few_shot,Hasil Few-shot,"Burung punai hinggap di dahan
Air jernih mengalir di hulu",2,2,0,1.000000,0.000000,9,10,11,9,0,
51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata","Jika hendak disayang kawan
Bersikap jujur sepanjang masa",Chat-GPT,few_shot,Hasil Few-shot,"Burung punai hinggap di dahan
Air mengalir ke sawah desa",2,2,1,1.000000,0.000000,9,10,9,10,0,
36,5563,Pantun kiasan dan peribahasa,"pohon kelapa ditanam disana
berdekatan dengan pohon kenari
peran ibu bapak dalam dunia
bagaikan bulan dan matahari","pohon kelapa ditanam disana
berdekatan dengan pohon kenari","peran ibu bapak dalam dunia
bagaikan bulan dan matahari",Chat-GPT,few_shot,Hasil Few-shot,"Mentari pagi menyinari dunia
Bintang terang menemani hari",2,2,1,1.000000,0.142857,12,10,11,10,0,
65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi","Kalau ingin hidup bahagia
Jaga hati dari dengki",Chat-GPT,few_shot,Hasil Few-shot,"Kalau ke taman memetik melati
Air mengalir di tepi jerami",2,2,0,1.000000,0.142857,11,11,10,8,0,
32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar","Budi bahasa jadi pegangan
Agar hidup sentiasa wajar",Chat-GPT,few_shot,Hasil Few-shot,"Burung tekukur mencari makan
Air mengalir jernih dan segar",2,2,1,1.000000,0.000000,10,10,10,10,0,
95,6446,Pantun teka-teki,"Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun
Coba tebak apakah ini
Selalu naik tak pernah turun","Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun","Coba tebak apakah ini
Selalu naik tak pernah turun",Chat-GPT,few_shot,Hasil Few-shot,"Mari bermain bersama kini
Air pasang tak pernah turun",2,2,1,1.000000,0.375000,10,9,9,10,0,
63,1505,Pantun kehidupan dan renungan,"Burung camar terbang rendah
Menyambar ikan di laut biru
Harta dunia jangan bermegah
Budi dan amal penentu mutu","Burung camar terbang rendah
Menyambar ikan di laut biru","Harta dunia jangan bermegah
Budi dan amal penentu mutu",Chat-GPT,few_shot,Hasil Few-shot,"Bunga indah jangan bermegah
Rotan dianyam bermutu halus",2,2,0,1.000000,0.250000,9,10,10,10,0,
17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu","hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",Chat-GPT,few_shot,Hasil Few-shot,"Bintang berkelip di langit lebat
Tekun belajar mencari ilmu",2,2,1,1.000000,0.142857,10,10,12,10,0,
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,few_shot,Hasil Few-shot,"Burung merpati terbang tenang
Buah nangka tersusun di baka",2,2,1,1.000000,0.000000,9,10,9,9,0,
35,2330,Pantun kiasan dan peribahasa,"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan","hendak berlayar hari dah petang
tepikan biduk kucutkan sampan","tak kenal maka tak sayang
marilah kita berkenalan",Chat-GPT,few_shot,Hasil Few-shot,"Burung datang hinggap di parang
Mari singgah minum jamuan",2,2,1,1.000000,0.000000,9,9,8,9,0,
