no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,score_source,s_judge_norm,xrasa_final,bleu,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung pipit hinggap di dahan tua
Pagi hari memetik melati",2,2,1,1.0,0.0,11,10,9,9,0,3,manual_queue_filled,0.5,0.75,0.021105340631872645,0.22222222222222224,0.0,0.11111111111111112,0.715612530708313,0.7004741430282593,0.7079624533653259
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Chat-GPT,few_shot,Hasil Few-shot,"Burung tempua hinggap di kanya
Air jernih mengalir ke tepi",2,2,1,1.0,0.0,10,10,9,9,0,5,manual_queue_filled,1.0,1.0,0.0,0.0,0.0,0.0,0.7033531665802002,0.7093712091445923,0.7063493728637695
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Gemini,zero_shot,Hasil Zero-shot,"Memetik buah manis rasanya
Dipetik satu di pagi hari",2,2,1,1.0,0.0,10,10,9,9,0,3,manual_queue_filled,0.5,0.75,0.023980296761827107,0.11764705882352941,0.0,0.11764705882352941,0.7227057814598083,0.7014663815498352,0.7119277119636536
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Gemini,few_shot,Hasil Few-shot,"Harum baunya bunga cempaka
Pohon tumbuh di tepi kali",2,2,1,1.0,0.0,9,9,9,9,0,3,manual_queue_filled,0.5,0.75,0.023980296761827107,0.35294117647058826,0.13333333333333333,0.23529411764705882,0.7385279536247253,0.7357974052429199,0.7371601462364197
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Claude,zero_shot,Hasil Zero-shot,"Pergi ke pasar beli sayurnya
Sayur segar dibawa pagi",2,2,1,1.0,0.0,10,9,9,9,0,3,manual_queue_filled,0.5,0.75,0.023980296761827107,0.11764705882352941,0.0,0.11764705882352941,0.7251936197280884,0.7194983959197998,0.7223348021507263
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Claude,few_shot,Hasil Few-shot,"Pergi ke ladang membawa cangkulnya
Singgah sebentar di tepi kali",2,2,1,1.0,0.0,11,10,9,9,0,3,manual_queue_filled,0.5,0.75,0.0,0.0,0.0,0.0,0.7057141661643982,0.7199569940567017,0.7127644419670105
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Budi elok menggembirakan
Membuat rupa diri manis",2,2,0,1.0,0.25,9,9,9,9,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.7108801603317261,0.7087710499763489,0.7098240256309509
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Bunga melati tumbuh di taman
Harumnya semerbak sepanjang hari",2,2,0,1.0,0.0,10,11,9,9,0,3,manual_queue_filled,0.5,0.25,0.050712153369465586,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.763930082321167,0.7452285885810852,0.7544634938240051
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Sailor2,zero_shot,Hasil Zero-shot,"Budi elok membawa senyum
Semua hati rasa senang selalu",2,2,0,1.0,0.625,9,12,9,9,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.7132322192192078,0.708673357963562,0.7109455466270447
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Sailor2,few_shot,Hasil Few-shot,"Di halaman luas rumput hijau,
Harum bunga melati semerbak pagi.",2,2,0,1.0,0.0,10,12,9,9,0,3,manual_queue_filled,0.5,0.25,0.021105340631872645,0.4444444444444445,0.125,0.33333333333333326,0.6979804039001465,0.6921042203903198,0.6950298547744751
