item_id,isi_input_model,sampiran_generated,semantic_bridge_score_human_1_5,catatan_penilai,semantic_bridge_score_human_2_5,catatan_penilai,semantic_bridge_score_llm_1_5
HB-001,"Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Sawah luas di ladang terlihat subur
Membawa harum dalam diri",2,rima salah,,,2
HB-002,"jika nanti kita berpisah
jangan pernah lupakan aku","Memetik buah di balik celah
Burung kutilang terbang ke batu",4,,,,3
HB-003,"jika kamu menaruh kasih
langsung kita ke pelaminan","Anak dara menjunjung kasih
Jangan lupa membawa impian",1,bocor,,,1
HB-004,"Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Burung layang-layang terbang melayang
Singgah sejenak mencari kata",4,,,,2
HB-005,"Jika hati bersih nurani
Hidup indah penuh rasa","Hati yang suci dan bersih nian
Mencerminkan kebijaksanaan tinggi",1,,,,1
HB-006,"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ilmu tanpa akhlak percuma
Bagaikan raga, tanpa rohani, hidup hampa",1,,,,1
HB-007,"Hidup rukun penuh bahagia
Jika sabar di dalam hati","Bunga melati wangi di pagi hari,
Tumbuh subur dalam kesabaran hati.",1,,,,1
HB-008,"hidup mati untuk negara
ikhlas hati kalau mati","Ikhlaskan segala bentuk penderitaan
Untuk negara tanah tumpah darahmu",2,,,,1
HB-009,"tunduk patuh pada tuhan
hati teduh jiwa pun tenang","Burung camar terbang ke lautan
Anak-anak bermain riang",5,,,,3
HB-010,"setelah bermain bersihkan kamar
jangan sampai berantakan","setelah bermain bersihkan kamar
jangan sampai berantakan",1,,,,1
HB-011,"Jika ingin hidup berarti
Bersikap jujur dan lapang","Rintik hujan di pagi buta
Langit kecil awan yang merang",2,,,,2
HB-012,"Orang sabar dalam diam
Menunggu waktu kemenangan","Bunga mawar disiram-siram,
Memetik buah di dalam ruangan.",5,,,,2
HB-013,"rindu ini tak pernah usai
seperti laut mencinta Samudra","Rindu ini, tak pernah usai
Seperti laut, mencinta Samudra, cinta abadi",1,,,,1
HB-014,"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Beli kain bertenun satu
Bunga mawar harum memekar",5,,,,4
HB-015,"kepada ayah mesti hormat
kepada ibu harus berbakti","Bakti kepada orang tua
Jika ingin kehidupan berkah",2,,,,1
HB-016,"Jika hidup ingin berisi budi
Hormati janji dan ucapan","Bunga kenanga harum mewangi
Angin sepoi bertiup di taman",5,,,,4
HB-017,"sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","Tunggalkan sabar, suami akan kembali
Jangan khawatir tentang hal-hal yang tidak pasti atau terjadi di masa depan",2,,,,1
HB-018,"lebar kepala dari badan
apakah itu coba kau terka","Lebar kepala dari badannya,
Itu kepala, mudahnya terka.",1,,,,1
HB-019,"kalau hidup hendak selamat
ayah dan bunda kita muliakan","Ayah bunda yang selalu sayang
Kita hormati dengan sepenuh jiwa",1,,,,1
HB-020,"tak kenal maka tak sayang
marilah kita berkenalan","Terbang melayang burung elang
Hinggap di dahan pohon rambutan",5,,,,3
HB-021,"peran ibu bapak dalam dunia
bagaikan bulan dan matahari","Bunga melati indah di dunia
Mekar segar sepanjang hari",1,,,,1
HB-022,"Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Teman tersayang yang manis
Terus menghibur dan melayani",1,,,,1
HB-023,"jika nanti kita berpisah
jangan pernah lupakan aku","Detik berpisah janganlah lupa,
Ingatan teman selalu di jiwa.",1,,,,1
HB-024,"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Pergi berlayar mencari sakti
Ke ladang pagi memetik kelapa",5,,,,5
HB-025,"kakiku empat tak punya badan
coba tebak siapakah aku","Coba tebak siapakah aku
Dengan keempat kakiku yang tanpa badan",1,,,,1
HB-026,"Jika ingin hidup dikenang
Budi baik jadi pusaka","Budi baik jadi pusaka
Agar hidup selalu dikenang",1,,,,1
HB-027,"baru seminggu kita berpisah
rindu di hati telah membara","Baru seminggu kita berpisah,
Rindu di hati tak terbendung lagi.",1,,,,1
HB-028,"Jika rindu datang bertalu
Mengapa engkau tak beri jawaban","Jika rindu datang bertalu
Mengapa engkau tak beri jawaban",1,,,,1
