id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Mentari pagi menyinari desa;Embun menetes di daun kemangi;4;Citraan 'embun' dan 'kemangi' sangat natural dan rima tertata rapi tanpa membocorkan isi pesan selamat datang, meski pola visualnya cukup standar.
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Awan berarak di pagi hari;Ombak kecil menyapa dermaga biru;4;Gambaran 'dermaga biru' memberikan estetika yang baik dan rima akhir konsisten, memberikan kontras yang pas dengan isi pantun yang bersifat sindiran.
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Burung merpati hinggap di dahan belah;Angin berbisik di lembah rendah;5;Sangat puitis dengan diksi klasik yang kuat. Citraan alam 'lembah rendah' selaras secara atmosferik dengan tema religius tanpa mendahului isi
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Bunga melati mekar dipinta;Bulan bersinar di tepian aluan;3;Pengulangan kata 'aluan' pada sampiran dan isi mengurangi nilai kreativitas rima, serta frasa 'mekar dipinta' terasa sedikit dipaksakan secara logika alam
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Hujan turun di balik hutan;Mawar merekah menyimpan rasa;2;Lemah secara teknis karena menggunakan kata 'rasa' di baris sampiran sekaligus baris isi. Hal ini dianggap cacat dalam estetika pantun klasik karena membocorkan bunyi dan diksi utama.
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Padi menguning tanda berkat;Air jernih mengalir ke kali;4;Citraan padi dan air sangat natural dan klasik khas sastra lama. Rima tertata rapi (a-b-a-b) tanpa ada pengulangan kata yang membocorkan isi.
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Gunung menjulang megah rupanya;Laut membentang sepanjang masa;1;Sampiran gagal total karena menggunakan frasa 'sepanjang masa' yang identik dengan bagian isi. Ini melanggar aturan dasar pantun terkait kebocoran diksi
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Kupu hinggap di bunga rendah;Bulan tersenyum menyentuh hati;2;Terdapat pengulangan kata 'hati' pada sampiran dan isi. Selain itu, personifikasi 'bulan tersenyum' terasa terlalu modern dan kurang mencerminkan estetika sastra lama
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Kabut turun menutup daratan;Angin berhembus dari pokok;4;"Secara estetis sangat menarik; penggunaan 'kabut' menjadi metafora visual yang halus untuk 'rokok' tanpa membocorkannya secara harfiah. Rima akhir sangat kuat."
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Pelangi muncul menghias angkasa;Taman berbunga tertata rapi;2;Terjadi pengulangan kata 'rapi' pada baris kedua dan keempat. Citraan taman yang tertata juga terlalu lugas sehingga suasana sampiran dan isi menjadi terlalu identik
