model,setting,bleu_count,bleu_mean,bleu_std,rouge1_f_count,rouge1_f_mean,rouge1_f_std,rouge2_f_count,rouge2_f_mean,rouge2_f_std,rougeL_f_count,rougeL_f_mean,rougeL_f_std,bertscore_p_count,bertscore_p_mean,bertscore_p_std,bertscore_r_count,bertscore_r_mean,bertscore_r_std,bertscore_f1_count,bertscore_f1_mean,bertscore_f1_std
Chat-GPT,few_shot,100,0.010928353877206823,0.020335508194665435,100,0.083078001375989,0.11453770478514035,100,0.013509803921568626,0.052339860064012554,100,0.0819015307877537,0.10980292624589809,100,0.6983260750770569,0.039573345049189045,100,0.698252345919609,0.039653967928523784,100,0.6982185536623001,0.03900613047546502
Chat-GPT,zero_shot,100,0.011618522491131473,0.045752923971372574,100,0.07531682146542827,0.13044945269483374,100,0.011259803921568627,0.0643196947226589,100,0.06875438596491228,0.1157408842430459,100,0.6981291538476944,0.04152456777114192,100,0.6971512734889984,0.04213237106110749,100,0.6975722432136535,0.04129191771049278
Claude,few_shot,100,0.014906967008714644,0.02369249209585864,100,0.10104691988438118,0.13067097422515012,100,0.01659640522875817,0.05867893942574325,100,0.09480346365021289,0.12081237073534047,100,0.703591735959053,0.03504933451234306,100,0.7046890008449554,0.03670601856576484,100,0.7040355736017228,0.03480732601352649
Claude,zero_shot,100,0.014615793872576846,0.03156982698902056,100,0.08024828001375989,0.10540735977966556,100,0.011854575163398693,0.05757768189317844,100,0.07584038527691779,0.09938413168097589,100,0.6998418629169464,0.033106198755648304,100,0.6994957649707794,0.033555299562083966,100,0.699585862159729,0.032431513733680736
DeepSeek-R1,few_shot,100,0.00284066638601512,0.00780213550299707,100,0.02451663919156179,0.06408336805798105,100,0.0,0.0,100,0.021358744454719688,0.05073630632898462,100,0.6781364488601684,0.030842586158476844,100,0.6794514870643615,0.0317209097738686,100,0.678717948794365,0.030447879397142608
DeepSeek-R1,zero_shot,100,0.0027837831219204388,0.008232173088339621,100,0.014384441495896605,0.04067833541145628,100,0.00125,0.012499999999999999,100,0.014384441495896605,0.04067833541145628,100,0.6702928256988525,0.028267659514585257,100,0.6703567600250244,0.030217483491408858,100,0.6702227079868317,0.028106853413050126
Gemini,few_shot,100,0.013837460331635654,0.013461881786904354,100,0.10535156518747851,0.1070601537748479,100,0.007380718954248367,0.029432407452988592,100,0.09774234606123151,0.09532973880411226,100,0.7038687884807586,0.03178651620373292,100,0.7005654084682464,0.03537603763889451,100,0.7021475595235824,0.03293067245090814
Gemini,zero_shot,100,0.013740469847090053,0.02023301252720351,100,0.09965961472308221,0.12040856714715849,100,0.019493930905695612,0.0710766088608323,100,0.0932609219126247,0.11139519615109489,100,0.702235237956047,0.03247305707912427,100,0.6953254526853562,0.03319610621652383,100,0.6986859196424484,0.031976658615419366
Llama 3.1: 8B,few_shot,100,0.004047081213426938,0.009467168631437602,100,0.03086107425426311,0.06460574203406144,100,0.0025098039215686275,0.01769229035288062,100,0.029749963143151995,0.06219177014858141,100,0.6769872707128525,0.027263423579537163,100,0.6796905583143235,0.0295162300664217,100,0.678249305486679,0.027306765915884563
Llama 3.1: 8B,zero_shot,100,0.0031856393957055166,0.010076541390814105,100,0.01699053225756012,0.04779446390567724,100,0.0027884615384615387,0.01972438558352428,100,0.01699053225756012,0.04779446390567724,100,0.6788439953327179,0.03148768066109369,100,0.6790252423286438,0.03139220592625593,100,0.6788650941848755,0.03070134874197775
Sailor2,few_shot,100,0.007332134674694065,0.012538246781362259,100,0.05467671853430368,0.08852413134007418,100,0.0032499999999999994,0.023477638189338696,100,0.051565607423192564,0.07929290261532651,100,0.671173455119133,0.0256135489602143,100,0.6698182588815689,0.029319584315850973,100,0.6704323130846024,0.026764640209263668
Sailor2,zero_shot,100,0.002538970145661035,0.006994925641640739,100,0.01709535313327883,0.042949673439448374,100,0.0013333333333333333,0.013333333333333336,100,0.01709535313327883,0.042949673439448374,100,0.6652057790756225,0.0230057112777973,100,0.6687127202749252,0.024966838654427365,100,0.6668912249803544,0.02310133490365036
