id,sampiran_asli_1,sampiran_asli_2,isi_1,isi_2
1,kalau tuan berbudi bahasa,cobalah tebak di dalam peti,wahai pahlawan tanpa tanda jasa,selamat datang di sekolah kami
2,Ke pasar membeli roti,Roti manis rasa keju,Katanya rajin introspeksi diri,Salah sedikit menyalahkan kamu
3,Batu halus kini terbelah,Tertancap oleh sebutir panah,Nabi diutus membawa risalah,Jalan hidupnya disebut sunnah
4,duduk sekawan gadis jelita,buat santapan untuk pahlawan,tampil lah tuhan kami meminta,madah ucapan kata aluan
5,hujan tipis membasuh taman,bunga segar menebar aroma,cintaku hadir tanpa tuntutan,namunn tulus menjaga rasa
6,Pohon sena berdaun lebat,Akar berpaut di tanah pertiwi,Jika adat dijunjung taat,Hidup terpelihara maruah diri
7,Naik kuda bersama mama,Hendak keliling pinggiran kota,Ada beribu budaya kita punya,Harus lestari di sepanjang masa
8,Ke cimanggis membeli kopiah,Kopiah indah kan kau dapati,Begitu banyak gadis yang singgah,Hanya dinda yang memikat hati
9,pergi sekolah bersama teman,anak perempuan memakai rok,merokok tak baik buat kesehatan,biar aku aja yang merokok
10,Hembus pawana bayu terasa,Hati kehendak merasa sepi,Indah buana ciptaan esa,Mengapa tidak dijaga rapi
11,bersihkan halaman dengan sapu,basahkan kain bersihkan kaca,anak baik menghormati guru,berbakti jua pada orangtua
12,berburu ke padang datar,dapat rusa si belang kaki,jangan dulu mengaku pintar,kalo kamu gak bisa ngaji
13,Bintang pagi bersinar terang,Menyapa fajar di ufuk timur,Jika ingin hidup gemilang,Berusaha keras tanpa mundur
14,Bila memandang ke muka laut,Nampak sampan mudik ke hulu,Bila terkenang mulut menyebut,Budi yang baik ingat selalu
15,Kain batik banyak sekodi,Perca banyak dalam goni,Turun ke sawah menanam padi,Bermain lumpur seperti petani
16,Pohon kelapa melambai angin,Buahnya muda segar rasanya,Jika hidup penuh yakin,Rezeki datang bersama doa
17,Siapa yang tidak memegang panah,Pasti dia tidak punya ancaman,Siapa yang tidak memegang amanah,Pasti dia tidak membawa iman
18,jalanjalan ke kota padang,perut lapar memakan roti,lisan tajam bagaikan pedang,hatihati jangan sampai menyakiti
19,ke sawah membawa pahat,pulangnya bawa seikat kayu,ada kamis sebelum jumat,dan semua orang juga tahu
20,Begitu indah alam semesta,Lebih indah dari mutiara,Apakah tanda hatinya cinta,Penuh kasih bersikap mesra
21,ambil manggis dengan galah,masukkan manggis dalam kardus,dari anakmu yang banyak salah,meminta maaf dengan tulus
22,Pergi ke sawah menanam padi,Singgah sebentar membeli kain,Kalau belajar sungguh di hati,Ilmu didapat manfaatnya lain
23,ada rabu setelah selasa,pergi memancing hari dah senja,teruslah berjaya wahai indonesia,di bumi pertiwi goreskan cerita
24,setelah mandi bersihkan kasur,sebelum pergi ke sekolah,kalo ompong tertawa menyembur,teman di sebelah pasti marah
