model,metric,n_pairs,mean_few_shot,mean_zero_shot,mean_diff_few_minus_zero,t_stat,p_t_approx,p_permutation
Chat-GPT,r_score,100,0.790000,0.730000,0.060000,1.135533,0.256152,0.353412
Chat-GPT,a_score,100,0.994530,1.000000,-0.005470,-1.687985,0.091414,0.245189
Chat-GPT,clr,100,0.168179,0.240429,-0.072250,-3.504472,0.000458,0.000500
Claude,r_score,100,0.970000,0.990000,-0.020000,-1.421411,0.155197,0.500625
Claude,a_score,100,0.980130,0.997047,-0.016917,-2.721560,0.006497,0.010997
Claude,clr,100,0.011290,0.028254,-0.016964,-2.424516,0.015329,0.016746
DeepSeek-R1,r_score,100,0.040000,0.250000,-0.210000,-4.213642,0.000025,0.000500
DeepSeek-R1,a_score,100,0.932372,0.886271,0.046102,2.763723,0.005715,0.005749
DeepSeek-R1,clr,100,0.176778,0.468877,-0.292099,-6.791896,0.000000,0.000250
Gemini,r_score,100,0.880000,0.880000,0.000000,0.000000,1.000000,1.000000
Gemini,a_score,100,0.998523,1.000000,-0.001477,-1.000000,0.317311,1.000000
Gemini,clr,100,0.007579,0.016119,-0.008540,-1.658043,0.097309,0.095726
Llama 3.1: 8B,r_score,100,0.230000,0.510000,-0.280000,-3.478111,0.000505,0.002000
Llama 3.1: 8B,a_score,100,0.950262,0.866765,0.083498,3.436510,0.000589,0.001000
Llama 3.1: 8B,clr,100,0.386067,0.642266,-0.256198,-4.424289,0.000010,0.000500
Sailor2,r_score,100,0.010000,0.170000,-0.160000,-4.051482,0.000051,0.000250
Sailor2,a_score,100,0.818328,0.845378,-0.027050,-1.300838,0.193314,0.189703
Sailor2,clr,100,0.187472,0.744718,-0.557246,-17.561959,0.000000,0.000250
