No.	ID Data Asli	Jenis Pantun	Pantun Asli Lengkap	Sampiran Asli	Isi untuk Input Model	Chat-GPT	Chat-GPT	Gemini	Gemini	Claude	Claude	Llama 3.1: 8B	Llama 3.1: 8B	Sailor2	Sailor2	DeepSeek-R1	DeepSeek-R1
						Hasil Zero-shot	Hasil Few-shot	Hasil Zero-shot	Hasil Few-shot	Hasil Zero-shot	Hasil Few-shot	Hasil Zero-shot	Hasil Few-shot	Hasil Zero-shot	Hasil Few-shot	Hasil Zero-shot	Hasil Few-shot
1	1399	Pantun nasihat dan budi pekerti	"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati"	"Bunga melati harum baunya
Disiram embun waktu pagi"	"Jika budi elok lakunya
Semua orang senang hati"	"Burung pipit hinggap di dahan tua
Pagi hari memetik melati"	"Burung tempua hinggap di kanya
Air jernih mengalir ke tepi "	"Memetik buah manis rasanya
Dipetik satu di pagi hari"	"Harum baunya bunga cempaka
Pohon tumbuh di tepi kali"	"Pergi ke pasar beli sayurnya
Sayur segar dibawa pagi"	"Pergi ke ladang membawa cangkulnya
Singgah sebentar di tepi kali"	"Budi elok menggembirakan
Membuat rupa diri manis"	"Bunga melati tumbuh di taman
Harumnya semerbak sepanjang hari"	"Budi elok membawa senyum
Semua hati rasa senang selalu"	"Di halaman luas rumput hijau,
Harum bunga melati semerbak pagi."	"Budi elok senantiasa
Di hiasi dengan rendah hati"	"Pantai biru terkena ombak
Taman hijau diingat selamanya"
2	185	Pantun nasihat dan budi pekerti	"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka"	"Air telaga ditimba petang
Disimpan dalam kendi tua"	"Jika ingin hidup dikenang
Budi baik jadi pusaka"	"Anak dagang membawa parang
Nyiur melambai di tepi muara"	"Burung merpati terbang tenang
Buah nangka tersusun di baka"	"Terbang tinggi burung belang
Hingga hinggap di atas paka"	"Terbang tinggi burung elang
Minggap sebentar di atas paka"	"Burung merpati terbang melayang
Hinggap sejenak di dahan mangga"	"Burung camar terbang melayang
Perahu nelayan singgah di muara"	"Budi baik membuat terkenal
Hidup tak pernah dilupakan"	"Padang hijau tempat bermain
Berwarna hijau lembut dan mulus"	"Hidup bermutu jujur terjaga
Amanah teguh bak pagar baja"	"Pohon akasia di tepian sungai,
Kenangan indah dalam jiwa abadi."	"Budi baik jadi pusaka
Agar hidup selalu dikenang"	"Langit tinggi dikejar awan
Bukit tinggi diayun semang"
3	3264	Pantun nasihat dan budi pekerti	"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar"	"Ke pasar membeli buah duku
Duku manis rasanya segar"	"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar"	"Burung tekukur turun membantu
Petani bekerja di tepi pagar"	"Pohon bambu tumbuh bersatu
Pagar kayu tegak dipagar"	"Beli kain bertenun satu
Bunga mawar harum memekar"	"Kain tenun berhias batu
Terikat erat rantai tembaga"	"Pergi ke ladang memetik tebu
Buah kelapa dijual di pasar"	"Pergi ke kebun memetik tebu
Ikan berenang di kolam besar"	"Jujur dan amanah membentengi
Mutu hidup makin meninggi"	"Hutan lebat tempat burung berkicau
Dengan sari manis, kaya akan rahmat"	"Hidup berisi budi dihormat
Hormati janji dan tutur kata"	"Kebun sayuran berbatas jelas,
Kejujuran tumbuh subur di ladang hati."	"Jujur dan amanah harus dipagar
Dengan budi elok hidup bermutu"	"Sungai jernih mengalir perlahan
Pohon besar menembus awan tinggi"
4	4515	Pantun nasihat dan budi pekerti	"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar"	"Pagi hari memetik mangga
Burung kecil hinggap di pagar"	"Jika ingin hidup bahagia
Bersikap jujur dan sabar"	"Mentari pagi menyapa desa
Burung kecil hinggap di pagar"	"Mentari pagi sinarnya ceria
Layar perahu dibawa pelayar
"	"Tinggi menjulang pohon kelapa
Pagi hari udara segar"	"Tanam padi di dekat desa
Sawah luas membentang lebar"	"Pergi ke kota naik kereta
Singgah sebentar mencari kabar"	"Burung merpati terbang ke desa
Kerbau digembala di padang besar"	"Hati sabar membuat selalu
Bahagia bersama yang lain"	"Di tengah hutan tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi"	"Rendah hati jalan budi mulia
Jangan tinggi diri tak tahan uji"	"Bawah redup bayangan pohon beringin,
Kebahagiaan mengalir tenang tanpa henti."	"Bersikap jujur dan sabar
Hidup akan bahagia selamanya"	"Langit cerah hias keindahan
Hutan rimbun jadi kenangan"
5	4853	Pantun nasihat dan budi pekerti	"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan"	"Pergi ke desa membawa padi
Padi ditukar dengan ikan"	"Jika hidup ingin berisi budi
Hormati janji dan ucapan"	"Pohon jati tumbuh berbudi
Singgah sebentar membeli papan"	"Burung pipit terbang sendiri
Daun sirih dalam anyaman"	"Membeli kain berjenis kadi
Ikan berenang di dalam kolam"	"Membeli kain dari keladi
Dimasak masak dalam belanga"	"Pergi memancing ke tepi kali
Sambil menunggu turunnya hujan"	"Bunga kenanga harum mewangi
Angin sepoi bertiup di taman"	"Hormatlah dengan perbuatan
Membuat rasa hormat meninggi"	"Gelombang laut membawa kebahagiaan
Ombak yang berderak menghampiri pantai"	"Tenang hidup jangan cari salah
Membina baik hati tak gundah"	"Senja indah di tepi pantai,
Janji terjaga, hati pun damai."	"Jika hidup ingin berisi budi
Hormati janji dan ucapan"	"Kayu tinggi dihela perahu
Bulan tinggi di langit malam"
6	5040	Pantun nasihat dan budi pekerti	"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai"	"Pergi ke ladang memanen padi
Padi menguning siap dituai"	"Jika hidup ingin penuh budi
Rendah hati jangan dilalai"	"Pohon serai tumbuh berbudi
Daun pandan jangan dilalai"	"Pohon jati tumbuh berbudi
Jangan lalai memegang tali"	"Pergi melaut mencari padi
Jala ditebar hingga ke pantai
"	"Pergi ke sawah menanam padi
Menjala ikan di bawah pantai"	"Anak ayam berjalan sendiri
Induk mencari di tepi sungai"	"Kupu-kupu terbang tinggi
Sampan kecil menepi di pantai"	"Rendah hati membuat rupa diri
Selalu bahagia bersama orang banyak"	"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Syukuri nikmat sepanjang usia
Hidup penuh budi penuh ceria"	"Sawah hijau dengan kerbau berbaris,
Kerendahan hati, kebijakan tercapai."	"Jika hidup ingin penuh budi
Rendah hati jangan dilalai"	"Bukit curam ditembus panah
Matahari tinggi langit biru"
7	5357	Pantun nasihat dan budi pekerti	"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah"	"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah"	"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah"	"Bunga melati harum berbudi
Jauhi semak yang penuh amarah"	"Pohon jati tumbuh berbudi
Api marak membakar amarah"	"Bunga mawar berbudi budi
Sungguh indah mekar berduri"	"Beli kain bertatah padi
Sungguh indah corak merah"	"Kancil berlari menepi
Mencari tempat teduh yang indah"	"Padi menguning di sawah kami
Rumah kayu berdiri megah"	"Angkuh dan marah merusak budi
Membuat rupa diri tercela"	"Hutan rimba tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai"	"Damailah hidup bersih iman
Jauh dari murka hati tenang"	"Burung merpati terbang berdua,
Angkuh sirna, harmoni pun tercipta."	"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah"	"Bidadari tinggal di awan
Singa tinggi di sela gunung"
8	120	Pantun nasihat dan budi pekerti	"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah"	"Air hujan turun ke ladang
Menyuburkan padi di sawah"	"Jika hidup ingin tenang
Jangan suka mencari salah"	"Perahu kecil menuju seberang
Jangan singgah ke rumah marah"	"Burung bangau terbang tenang
Jangan mudah memetik getah"	"Terbang tinggi burung kenari
Mencari makan di tengah sawah"	"Terbang tinggi burung elang
Singgah sebentar di kayu belah"	"Berjalan menuju ladang
Singgah sebentar melepas lelah"	"Layang-layang terbang melayang
Anak kecil bermain di sawah"	"Cari kebenaran membuat tenang
Hidup pun tak pernah sedih"	"Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya"	"Jangan suka mencari kesalahan
Hidup tenang hati lapang"	"Taman bambu di senja nan syahdu,
Tenanglah jiwa, tiada dendam rindu."	"Jika ingin hidup tenang
Jangan suka mencari salah"	"Taman kecil di balik bukit
Bunga kecil kian diingat"
9	1575	Pantun nasihat dan budi pekerti	"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang"	"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang"	"Jika ingin hidup berarti
Bersikap jujur dan lapang"	"Bunga melur semerbak mewangi
Layar terkembang menuju seberang"	"Embun pagi bening berseri
Perahu panjang berlayar lapang"	"Beli kain berhias pati
Kapur sirih di atas piring
"	"Bunga melur memikat hati
Tumbuh segar di padang lapang"	"Pergi ke kebun memetik padi
Padi dijemur di tempat terang"	"Embun pagi jatuh di bumi
Padi menguning memenuhi ladang"	"Lapang dada membuat selalu
Berbuat baik tanpa meminta ganti"	"Padang pasir tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Bersikap jujur dan lapang hati
Hidup berarti tanpa iri dengki"	"Kicauan merdu burung di pagi hari,
Hati mulia, jiwa pun terberkahi."	"Jika ingin hidup berarti
Bersikap jujur dan lapang"	"Rintik hujan di pagi buta
Langit kecil awan yang merang"
