id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Burung camar terbang di angkasa;Indah sekali pemandangan alami;3;Citraan burung camar dan pemandangan alami terasa cukup natural, namun diksi 'pemandangan alami' terkesan generik dan kurang memiliki nilai puitis sastra lama yang mendalam
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Pohon cemara tumbuh berdiri;Daunnya gugur di tepi danau;3;Citraan alam pohon cemara dan danau cukup baik, tetapi rima antara 'kamu' dan 'danau' kurang kuat (hanya rima lemah) sehingga estetika bunyinya kurang maksimal
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Awan berarak menutupi lembah;Angin bertiup membawa pasrah;3;Secara rima sudah tepat, namun penggunaan kata 'pasrah' pada sampiran melanggar kaidah citraan alam yang objektif karena memasukkan unsur rasa/emosi yang biasanya hanya untuk bagian isi
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Bunga mekar di kala senja;Embun pagi membasahi dahan;4;Memiliki nilai estetika yang baik dengan kontras waktu (senja dan pagi) yang puitis. Rima akhirnya selaras dengan bagian isi tanpa membocorkan pesan yang disampaikan
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Matahari terbit sinarnya terang;Matahari terbit sinarnya terang;1;Sampiran sangat buruk karena baris pertama dan kedua identik (pengulangan total). Selain itu, rima tidak nyambung sama sekali dengan bagian isi (tuntutan/rasa tidak berima dengan terang)
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Ombak bergelora di tepi pantai;Angin bertiup di atas dahan;1;"Rima gagal total; 'pantai' dan 'dahan' tidak memiliki keselarasan bunyi dengan 'taat' dan 'diri'. Sampiran dan isi terasa seperti dua dunia yang berbeda tanpa ikatan puitis."
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Gunung menjulang tinggi ke angkasa;Mengalir tenang air di telaga;2;Hanya mengandalkan asonansi akhiran 'a' yang sangat generik. Tidak ada pola rima silang yang kuat, sehingga nilai estetika sastra lamanya hampir tidak terasa
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Ayam jantan berkokok di ladang;Melihat kumbang di atas dahan;1;Struktur pantun hancur karena ketiadaan rima. 'Ladang' dan 'dahan' sama sekali tidak menyambung secara fonetik dengan 'singgah' dan 'hati'.
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Asap membumbung tinggi di angkasa;Bunga melati tumbuh di taman;1;Selain rima yang berantakan, sampiran 'asap membumbung' secara gamblang membocorkan topik 'merokok' pada bagian isi, melanggar fungsi sampiran sebagai pembayang
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Burung punai hinggap di dahan;Melihat laut bergelombang rapi;1;Terjadi pengulangan kata 'rapi' yang merupakan cacat besar (bocor) dalam pantun. Citraan laut yang 'bergelombang rapi' juga tidak natural dan terkesan dipaksakan demi rima
11;bersihkan halaman dengan sapu;basahkan kain bersihkan kaca;anak baik menghormati guru;berbakti jua pada orangtua;Di pohon jati buahnya labu;Di rawa-rawa tumbuh teratai;;
12;berburu ke padang datar;dapat rusa si belang kaki;jangan dulu mengaku pintar;kalo kamu gak bisa ngaji;Malam hari langit bertabur;Bintang terang cahayanya pudar;;
13;Bintang pagi bersinar terang;Menyapa fajar di ufuk timur;Jika ingin hidup gemilang;Berusaha keras tanpa mundur;Awan berarak di atas bukit;Melihat mentari terbit bersinar;;
14;Bila memandang ke muka laut;Nampak sampan mudik ke hulu;Bila terkenang mulut menyebut;Budi yang baik ingat selalu;Angin bertiup pohon beriak;Burung bernyanyi riang sekali;;
15;Kain batik banyak sekodi;Perca banyak dalam goni;Turun ke sawah menanam padi;Bermain lumpur seperti petani;Di tepi danau tumbuh ilalang;Angin bertiup sungguh semilir;;
16;Pohon kelapa melambai angin;Buahnya muda segar rasanya;Jika hidup penuh yakin;Rezeki datang bersama doa;Pohon kokoh menjulang tinggi;Akarnya kuat memeluk tanah;;
17;Siapa yang tidak memegang panah;Pasti dia tidak punya ancaman;Siapa yang tidak memegang amanah;Pasti dia tidak membawa iman;Daun gugur di waktu senja;Malam datang sungguh sunyi;;
18;jalanjalan ke kota padang;perut lapar memakan roti;lisan tajam bagaikan pedang;hatihati jangan sampai menyakiti;Bunga mawar sungguh indah;Kumbang terbang di sana sini;;
19;ke sawah membawa pahat;pulangnya bawa seikat kayu;ada kamis sebelum jumat;dan semua orang juga tahu;Matahari terbit di pagi hari;Langit biru sungguh cerah;;
20;Begitu indah alam semesta;Lebih indah dari mutiara;Apakah tanda hatinya cinta;Penuh kasih bersikap mesra;Bunga kembang di dalam taman;Harum wanginya semerbak indahnya;;
21;ambil manggis dengan galah;masukkan manggis dalam kardus;dari anakmu yang banyak salah;meminta maaf dengan tulus;Daun kering jatuh ke tanah;Burung bernyanyi tanpa putus;;
22;Pergi ke sawah menanam padi;Singgah sebentar membeli kain;Kalau belajar sungguh di hati;Ilmu didapat manfaatnya lain;Bunga mekar di pagi hari;Angin berhembus sungguh damai;;
23;ada rabu setelah selasa;pergi memancing hari dah senja;teruslah berjaya wahai indonesia;di bumi pertiwi goreskan cerita;Pelangi muncul sehabis hujan;Mentari bersinar dengan perkasa;;
24;setelah mandi bersihkan kasur;sebelum pergi ke sekolah;kalo ompong tertawa menyembur;teman di sebelah pasti marah;Air sungai mengalir deras;Melihat ikan bermain riang;;
25;jikalau ada bangunan roboh;maka benahi supaya benar;jikalau ada teman yang bodoh;maka bimbinglah supaya pintar;Di hutan lebat banyak kayu;Sungai mengalir deras sekali;;
26;Pohon mahoni lurus batangnya;Daunnya rimbun tempat berteduh;Jika hidup jaga akhlaknya;Langkah pasti terasa teguh;Pohon pinus tinggi menjulang;Akarnya kokoh tak goyah;;
27;pisau menggores menjadi luka;rasanya sakit amatlah pedih;cukup sekian dari saya;saya haturkan terima kasih;Bunga melati di depan rumah;Harum wanginya menyebar rata;;
28;pagi hari langsung sarapan;minum teh dan makan roti kelapa;dari semua mata pelajaran;hanya olahraga yang aku suka;Burung terbang di angkasa luas;Melihat gunung tinggi permai;;
29;bunga melur dalam jambangan;di tepi kolam menjadi hiasan;kucipta pantun buat renungan;semarak nilam empunya wawasan;Awan berarak di langit biru;Bintang bercahaya di malam kelam;;
30;Air telaga ditimba petang;Disimpan dalam kendi tua;Jika ingin hidup dikenang;Budi baik jadi pusaka;Sungai mengalir airnya jernih;Pohon rindang tempat berteduh;;
31;Pelangi indah sesudah hujan;Warna lembut menghias angkasa;Jika kasih tiada sempadan;Mengapa luka masih terasa;Sungai mengalir tak bertepi jalan;Langit biru luas membentang;;
32;pergi haji ke kota mekah;jangan lupa bawa kedondong;orang yang rajin sedekah;insya aallah masuk surga dong;Bunga mawar harum semerbak;Embun pagi jatuh di ranting;;
33;istirahat di dekat perhentian;lebih nyaman duduk di taman;cewek cantik dan pengertian;cocoknya dijadikan sebagai teman;Bintang terang di gelap malam;Bulan bersinar memecah sunyi;;
34;amalan membaca amalan mulia;dituntut agama dan juga bangsa;insan membaca banyak ilmunya;bekalan hidup sepanjang masa;Air di danau sungguh jernih;Pohon kelapa tumbuh tinggi;;
35;Pagi hari menimba sumur;Air jernih disimpan kendi;Jika ingin hati bersyukur;Terima takdir dengan rela hati;Mentari terbit pagi menyapa;Burung berkicau riang sekali;;
36;Pohon ara berdaun lebat;Menjadi teduh kala siang;Jika usaha dibuat hebat;Cita tinggi bukan sekadar bayang;Gunung tegak tak bergeser;Awan berarak di atas bukit;;
37;apalah tanda batang tebu;batang tebu halus uratnya;apalah tanda orang berilmu;orang berilmu halus sifatnya;Air di sungai mengalir lalu;Bunga mekar di tepi jalan;;
38;Ke Purwodadi membeli barang;Barang langka modelnya lama;Jangan peduli gunjingan orang;Asal benar sesuai agama;Angin bertiup di daun kering;Melihat kumbang di pohon jati;;
39;Jangan suka mencabut padi;Kalau dicabut hilang buahnya;Jangan suka menyebut budi;Kalau disebut hilang tuahnya;Burung punai terbang ke hulu;Melihat sungai yang meluap;;
40;jika kamu pergi ke dusun;jangan lupa membawa beras;belajarlah kamu dengan tekun;agar nanti jadi naik kelas;Awan hitam datang menumpuk;Melihat hujan turun deras;;
41;Kalau tahu peria itu pahit;Tidak ku gulai dengan petola;Kalau tahu bercinta itu sakit;Tidak ku mulai dari semula;Angin bertiup di atas bukit;Melihat bunga yang indah jelita;;
42;di bandar banyak yang terpaku;hilir mudik kanan dan kiri;tak kan pudar kasih sayangku;tambah erat hari ke hari;Awan berarak di langit biru;Melihat gunung tinggi permai;;
43;bambu rotan menjadi kursi;rumput ilalang menjadi atap;sejak ayam itu jadi polisi;banyak elang yang cepat tertangkap;Di hutan lebat ada sungai;Airnya jernih mengalir tenang;;
44;berjalan kaki ke sekolah;jangan sampai datang terlambat;selamat datang rabu yang cerah;selamat pagi untuk para sahabat;Mentari terbit bersinar merah;Embun menetes di daun lebar;;
45;jelekjelekin user tik tok;emangnya kamu yg paling benar;tak mengapa banyak yg mengolokolok;mending kita banyakin istighfar;Pohon cemara tumbuh kokoh;Burung berkicau di pagi hari;;
46;Bunga melati harum baunya;Disiram embun waktu pagi;Jika budi elok lakunya;Semua orang senang hati;Bunga mekar di kala senja;Angin bertiup membawa bau;;
47;kalau hendak memangsa tikus;carilah di kolong kolong parit;kalau tidak cermat dan serius;ingin pintar sangatlah sulit;Hujan turun membasahi bumi;Melihat pelangi sungguh cantik;;
48;dari mana hendak ke mana;dari desa hendak ke kota;jika boleh saya bertanya;bunga yang cantik siapa yang punya;Bintang terang di gelap malam;Melihat bulan bersinar terang;;
49;Langit luas membiru tenang;Burung camar terbang beriring;Jika kasih bukan sekadar bayang;Mengapa luka masih beriring;Awan putih di langit terhampar;Angin berhembus sungguh damai;;
50;tukang becak memakai topi;berwarna hijau di pinggir jalan;hadirmu tak seindah mimpi;saat kau masih dalam khayalan;Burung hantu terbang di malam;Melihat bulan bersinar redup;;
51;Dina merenung suaranya sumbang;Duduk bersantai dan telah pasrah;Dia berdengung tapi bukan kumbang;Punya belalai namun bukan gajah;;;;
52;pulang sekolah hari hujan;basah kuyup si supir kenek;semangat dipupuk hendak ujian;agar nilaimu tidak jelek;;;;
53;harga mangga sembilan ribu;ditambah pula beli apel merah;jika ingin disayang ibu;jangan sering buatnya marah;;;;
54;memasak air ambillah kayu;jangan ambil si akar rotan;jauh dari rumah mengingatkanku;akan kerinduan kampung halaman;;;;
55;orang sakit naik kursi roda;mengayuh sendiri dengan tangan;kecantikan tak menjamin bahagia;akhlakmu lah yang membuatku bertahan;;;;
56;berguna hidup karena beradat;adat lembaga jadi pakaian;sempurna hidup karena syahadat;syahadat dijaga mengokohkan iman;;;;
57;ke kebun panen daun keladi;untuk dimasak sore hari;esok hari telah menanti;tidurlah nyenyak malam ini;;;;
58;Pergi ke pasar membeli ikan;Ikan segar jadi hidangan;Belajar sabar dalam tekanan;Agar kuat menghadapi cobaan;;;;
59;Burung walet terbang berputar;Mencari makan di udara;Jika ingin hidupmu benar;Jaga amanah dengan setia;;;;
60;Bunga tanjung di tepi pagar;Harumnya lembut menusuk rasa;Jika hidup mahu segar;Hidupkan cinta pada budaya;;;;
61;Ranting sena berbalut embun;Bunga cempaka gugur sekuntum;Jika santun jadi pantun;Indah tutur lembut berhukum;;;;
62;hari ini menjual jagung;hari esok menjual jelai;hari ini kita berkampung;hari esok kita bercerai;;;;
63;Duka tersentak renggut ceria;Selaksa tanya bantah problema;Ketika jejak di sudut usia;Tersisa hanya sebuah nama;;;;
64;Sirih berlipat sirih pinang;Sirih dari Pulau Mutiara;Adat dijunjung pusaka dikenang;Budi bahasa penyeri negara;;;;
65;Kayu meranti dibuat papan;Disusun rapi jadi dinding;Jika ingin capai harapan;Jangan malas belajar dan berunding;;;;
66;tamasya ke kota bogor;jangan lupa ke kebun raya;meski kau sudah tersohor;jangan lupakan ayah bunda;;;;
67;amalan membaca budaya mulia;ilmu bertambah amat berharga;hidup bahagia dengan membaca;jadikan membaca khazanah bangsa;;;;
68;pohon jati kuat kayunya;pohon nyiur tinggi batangnya;murid pandai banyak ilmunya;bekal bagi nusa bangsanya;;;;
69;ambil bambu jadikan jembatan;jembatan tempat jalannya si tuan;merantau jauh dari kalimantan;belajar bersama dengan kalian;;;;
70;buah kelat waktu dirasa;meludah lagi kalau tak nyaman;wahai pejabat serta pengusaha;bantulah kami para seniman;;;;
71;Pergi berlayar saat fajar;Ombak kecil memecah perahu;Jika usaha terus dikejar;Sukses akan datang padamu;;;;
72;buah durian banyak durinya;isinya lunak bijinya keras;sudah dimakan tidak meminta;kini hendak diberi seulas;;;;
73;ke pontianak beli kopiah;kopiah indah kau dapati;begitu banyak gadis yang singgah;hanya adinda yang memikat hati;;;;
74;Pergi ke taman memetik delima;Delima merah manis rasanya;Ilmu dan adab harus bersama;Agar hidup penuh maknanya;;;;
75;jika ada jarum yang patah;jangan disimpan didalam peti;jika ada kata yang salah;jangan di simpan dalam hati;;;;
76;samudera hindia airnya biru;dilewati oleh kapal feri;cinta terjalin di malam itu;saat tahun mulai berganti;;;;
77;Cempaka putih di serambi istana;Harumnya lembut menyentuh rasa;Jika akal dijaga sempurna;Terselamat insan dari angkara;;;;
78;manis rasanya buah jambu;minumnya dengan jus tomat;gimana mau main hari minggu;cucian numpuk banyak amat;;;;
79;ada lagu gundul gundul pacul;dari jawa ia berasal;banyak gaya dalam bergaul;tanpa bercermin dari mana asal;;;;
80;Pergi ke kebun membawa keranjang;Memetik buah yang telah matang;Kalau ingin hidup cemerlang;Rajin belajar siang dan petang;;;;
81;kurang makan badan kurus;ada peci disebut songkok;bayangbayang tak akan lurus;dari pohon yang tumbuh bengkok;;;;
82;hujan malam turun perlahan;cahaya lampu memantul jalan;alam menjaga dalam keheningan;menyimpan damai dalam kegelapan;;;;
83;Pergi jauh membawa bekal;Demi bekerja dengan giat;Orang beriman orang berakal;Tak korbankan hidup sesaat;;;;
84;asah parang untuk membabat;petin pepaya untuk dimakan;seimbangkan dunia dan akhirat;dengan ilmu dan juga iman;;;;
85;deket muara ada madu dan jamu;nonton tv sambil minum jamu;gara gara rindu sama kamu;lihat sapi pun seolaholah kamu;;;;
86;jangan pergi mandi di lombong;emak dan kakak sedang mencuci;jangan suka bercakap bohong;semua kawan akan membenci;;;;
87;bulan purnama si terang bulan;anak bujang bernyanyi syahdu;puji syukur kami ucapkan;atas kedatanganmu hai guru baru;;;;
88;pulang sekolah pakai sepeda;ditengah jalan hujan tiba;ayo kawan masuk pramuka;melatih diri mencipta karya;;;;
89;Pohon kelapa tumbuh tinggi;Buahnya jatuh di tepi kali;Jika ingin hidup berarti;Hormati orang tua setiap hari;;;;
90;pergi ke kota membeli paku;paku dibungkus plastik biru;bukannya aku nggak lakulaku;tapi ku sedang nunggu jandamu;;;;
91;Burung kecil terbang tinggi;Hinggap manis di pohon jati;Ingat mati setiap hari;Supaya lembut hati ini;;;;
92;Rumah di parit terlihat permai;Pedagang kecil jualan siomai;Kalau ke masjid tidak ramai;Pastinya sulit tercipta damai;;;;
93;Bintang timur bersinar terang;Menemani malam yang sunyi;Jika hidup mahu dikenang;Tinggalkan jasa dan budi;;;;
94;air kelapa enak rasanya;walau basah amat senangnya;barang siapa dunia citacitanya;pasti susah jalan hidupnya;;;;
95;naik kuda tanpa pelana;kuda lari tak beraturan;jadi murid harus bijaksana;agar disayang guru dan teman;;;;
96;buah jeruk ada dimeja;ada pisau di dalam laci;diri ini bukan pujangga;tapi ini letupan rindu hati;;;;
97;Burung pipit terbang rendah;Hinggap sebentar di pohon cemara;Jika hati selalu ramah;Banyak sahabat datang menyapa;;;;
98;Pergi ke taman menatap senja;Langit jingga menutup hari;Jika hidup ingin bahagia;Ikhlas menerima yang terjadi;;;;
99;ke rumah teman naik sepeda;membawa tas dan juga buku;met ultah suami tercinta;tetaplah jadi pria hebatku;;;;
100;minum jamu sehatkan raga;makan buah sehatkan mata;kumpulkan ilmu dalam dada;amalkan ia di kehidupan nyata;;;;
