model,setting,n,xrasa_mean,xrasa_std,r_mean,a_mean,s_judge_mean,clr_mean,rank_xrasa,rank_clr
Chat-GPT,few_shot,100,0.478515,0.239606,0.790000,0.994530,0.172500,0.168179,3,3
Chat-GPT,zero_shot,100,0.430000,0.219273,0.730000,1.000000,0.130000,0.240429,3,3
Claude,few_shot,100,0.717086,0.161616,0.970000,0.980130,0.492500,0.011290,1,2
Claude,zero_shot,100,0.700470,0.137107,0.990000,0.997047,0.415000,0.028254,1,2
DeepSeek-R1,few_shot,100,0.072382,0.119324,0.040000,0.932372,0.107500,0.176778,5,4
DeepSeek-R1,zero_shot,100,0.121818,0.211298,0.250000,0.886271,0.002500,0.468877,5,4
Gemini,few_shot,100,0.683381,0.213587,0.880000,0.998523,0.487500,0.007579,2,1
Gemini,zero_shot,100,0.673750,0.233614,0.880000,1.000000,0.467500,0.016119,2,1
Llama 3.1: 8B,few_shot,100,0.163641,0.203191,0.230000,0.950262,0.102500,0.386067,4,6
Llama 3.1: 8B,zero_shot,100,0.249551,0.247444,0.510000,0.866765,0.000000,0.642266,4,5
Sailor2,few_shot,100,0.019837,0.064149,0.010000,0.818328,0.037500,0.187472,6,5
Sailor2,zero_shot,100,0.069852,0.158509,0.170000,0.845378,0.000000,0.744718,6,6
