id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Lebah terbang mencari rasa;Bulir padi jatuh ke jerami;4;Sampiran menggunakan citraan alam lebah dan padi yang sangat natural dan masuk akal. Rima akhir (rasa-jasa, jerami-kami) sangat solid dan memiliki estetika pantun klasik yang baik tanpa membocorkan isi.
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Burung nuri terbang sendiri;Hinggap di dahan pohon ramu;3;Meskipun citraan burung nuri cukup umum, pemilihan diksi 'pohon ramu' terasa sedikit dipaksakan secara semantik hanya demi mengejar keselarasan rima dengan kata 'kamu'
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Buah kurma masak merah menyalah;Tumbuh di padang berpasir tanah;4;Sangat estetis karena sampiran (kurma dan padang pasir) memiliki keterkaitan tematis yang harmonis dengan isi yang bernuansa religius (Nabi), menciptakan kesatuan suasana yang puitis
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Bunga cempaka harum di delta;Kembang mekar di sisi jalan;3;Citraan bunga cempaka di delta cukup indah, namun rima antara 'delta' dan 'meminta' serta 'jalan' dan 'aluan' terasa kurang kuat secara fonetik dibandingkan standar pantun yang ideal
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Pohon rindang di tepi hutan;Angin bertiup sepoi di angkasa;4;Berhasil membangun suasana alam yang tenang (pohon rindang dan angin sepoi) yang selaras dengan tema ketulusan cinta pada bagian isi, meskipun penggunaan kata 'angkasa' untuk angin sepoi sedikit kurang presisi
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Pucuk pauh condong ke barat;Daun selasih gugur sendiri;5;Sampiran ini sangat istimewa karena menggunakan citraan botani klasik (pauh dan selasih) yang sangat lazim dalam sastra lama. Pilihan katanya sangat puitis, rima sempurna, dan mencerminkan kesantunan budaya yang selaras dengan isi tentang adat dan maruah
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Bunga seroja mekar warnanya;Berseri tumbuh di taman desa;4;Citraan bunga seroja di taman desa sangat natural dan estetis. Hubungan antara keindahan bunga dan pelestarian budaya pada isi memberikan kesinambungan suasana yang baik tanpa membocorkan pesan utamanya
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Taman berbunga indah nan megah;Lebah berkunjung silih berganti;4;Penggunaan metafora lebah dan taman bunga untuk menggambarkan hubungan asmara adalah teknik klasik yang efektif. Rima 'singgah-megah' dan 'hati-berganti' sangat kuat dan mengalir dengan alami.
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Buah rambutan di tepi hutan;Petik sebiji dari atas pokok;3;Secara teknis sampiran ini memenuhi syarat rima dan citraan alam yang masuk akal. Namun, nilai puitisnya terasa standar dan kurang memiliki kedalaman estetika jika dibandingkan dengan gaya sastra lama yang lebih halus.
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Pandan wangi di pinggir desa;Harum baunya sampai ke tepi;4;Diksi 'pandan wangi' memberikan citraan aromatik yang kuat dan segar. Hal ini sangat mendukung tema 'keindahan buana' pada isi pantun, menciptakan harmoni antara keharuman alam dan kewajiban menjaga ciptaan Tuhan
11;bersihkan halaman dengan sapu;basahkan kain bersihkan kaca;anak baik menghormati guru;berbakti jua pada orangtua;Burung merpati terbang ke hulu;Hinggap di dahan pohon kelapa;;
12;berburu ke padang datar;dapat rusa si belang kaki;jangan dulu mengaku pintar;kalo kamu gak bisa ngaji;Ombak di laut pecah berpencar;Terhempas arus ke tepi kali;;
13;Bintang pagi bersinar terang;Menyapa fajar di ufuk timur;Jika ingin hidup gemilang;Berusaha keras tanpa mundur;Matahari bersinar cemerlang;Menyinari bumi dari timur;;
14;Bila memandang ke muka laut;Nampak sampan mudik ke hulu;Bila terkenang mulut menyebut;Budi yang baik ingat selalu;Burung merpati terbang ke laut;Singgah sejenak di pohon jambu;;
15;Kain batik banyak sekodi;Perca banyak dalam goni;Turun ke sawah menanam padi;Bermain lumpur seperti petani;Bunga cempaka harum abadi;Mewarnai taman indah harmoni;;
16;Pohon kelapa melambai angin;Buahnya muda segar rasanya;Jika hidup penuh yakin;Rezeki datang bersama doa;Burung camar terbang di angin;Melintasi lautan dan segara;;
17;Siapa yang tidak memegang panah;Pasti dia tidak punya ancaman;Siapa yang tidak memegang amanah;Pasti dia tidak membawa iman;Pohon tumbang menimpa tanah;Akarnya lapuk dimakan zaman;;
18;jalanjalan ke kota padang;perut lapar memakan roti;lisan tajam bagaikan pedang;hatihati jangan sampai menyakiti;Duri mawar tajam memanjang;Tersembunyi di balik bunga sejati;;
19;ke sawah membawa pahat;pulangnya bawa seikat kayu;ada kamis sebelum jumat;dan semua orang juga tahu;Awan berarak perlahan lambat;Menutupi langit berwarna biru;;
20;Begitu indah alam semesta;Lebih indah dari mutiara;Apakah tanda hatinya cinta;Penuh kasih bersikap mesra;Bunga melati putih merata;Semerbak harum mewarnai udara;;
21;ambil manggis dengan galah;masukkan manggis dalam kardus;dari anakmu yang banyak salah;meminta maaf dengan tulus;Buah manggis jatuh ke tanah;Dimakan tupai di tepi terus;;
22;Pergi ke sawah menanam padi;Singgah sebentar membeli kain;Kalau belajar sungguh di hati;Ilmu didapat manfaatnya lain;Burung kutilang hinggap di duri;Berkicau merdu di pagi yang lain;;
23;ada rabu setelah selasa;pergi memancing hari dah senja;teruslah berjaya wahai indonesia;di bumi pertiwi goreskan cerita;Bunga anggrek mekar di rimba;Harum semerbak mewangi rata;;
24;setelah mandi bersihkan kasur;sebelum pergi ke sekolah;kalo ompong tertawa menyembur;teman di sebelah pasti marah;Kelapa tua retak bergempur;Pecah kulitnya jatuh ke tanah;;
25;jikalau ada bangunan roboh;maka benahi supaya benar;jikalau ada teman yang bodoh;maka bimbinglah supaya pintar;Daun kelor gugur di kebun todoh;Disapu angin hingga berpencar;;
