id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Burung merpati terbang ke angkasa;Hinggap sebentar di dahan semi;4;Citraan burung merpati dan dahan semi sangat natural serta memiliki rima yang konsisten. Kesan damai pada sampiran selaras dengan suasana penghormatan kepada pahlawan pada bagian isi.
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Tumbuh melati di taman sari;Daun keladi beradu bayu;5;Penggunaan diksi 'taman sari' dan 'beradu bayu' menunjukkan kekayaan kosa kata sastra lama yang sangat estetis. Citraan alamnya masuk akal dan membangun suasana kontemplatif yang mendukung isi.
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Batang selasih patah dibelah;Pucuk meranti jatuh ke tanah;5;Sangat autentik dengan penggunaan flora klasik seperti selasih dan meranti. Logika alamnya kuat dan kesan rendah hati pada sampiran sangat serasi dengan tema religius pada bagian isi.
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Indah nian si bunga kanta;Embun menetes di dahan hutan;4;Diksi 'bunga kanta' dan 'embun menetes' memberikan sentuhan puitis yang segar. Aliran rimanya halus dan sangat cocok sebagai pembuka untuk kalimat permohonan yang khidmat.
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Awan berarak di tengah lautan;Elang terbang menjaga angkasa;4;Terdapat paralelisme yang cantik antara elang yang 'menjaga' angkasa dengan ketulusan 'menjaga' rasa. Citraan alamnya luas dan memberikan kesan puitis yang kuat tanpa membocorkan isi
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Hujan turun dengan lebat;Nuri hinggap di dahan duri;4;Sampiran memiliki rima yang sangat terjaga (taat-lebat, diri-duri). Citraan 'nuri di dahan duri' memberikan kesan visual yang kuat dan puitis, selaras dengan bobot isi pantun yang serius mengenai harga diri.
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Pucuk rebung manis rasanya;Embun pagi penyejuk rasa;4;Menggunakan unsur alam tradisional (pucuk rebung) yang sangat khas sastra lama. Hubungan antara kesegaran embun dan pelestarian budaya terasa harmonis, meskipun pengulangan kata 'rasa' sedikit mengurangi variasi diksi
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Padi menguning di sawah tadah;Burung pipit terbang ke jati;5;Sangat natural dan autentik dengan penggambaran suasana agraris (sawah tadah dan burung pipit). Rima 'singgah-tadah' dan 'hati-jati' sangat solid, menciptakan alur bunyi yang merdu khas pantun klasik
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Angin bertiup di tengah hutan;Kera memanjat pohon yang bengkok;3;Citraan kera dan pohon bengkok cukup masuk akal, namun secara estetika sastra lama terasa terlalu sederhana dan kurang puitis. Sampiran ini lebih berfungsi sebagai pelengkap rima untuk isi yang bersifat humor.
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Bunga mekar di taman rasa;Kayu kering dibakar api;4;Memiliki kontras visual yang menarik antara 'bunga mekar' dan 'api'. Diksi yang digunakan cukup puitis dan mampu membangun suasana yang tepat untuk mengingatkan pembaca tentang menjaga alam.
11;bersihkan halaman dengan sapu;basahkan kain bersihkan kaca;anak baik menghormati guru;berbakti jua pada orangtua;Indah awan berhias biru;Mekar mawar di taman bunga;;
12;berburu ke padang datar;dapat rusa si belang kaki;jangan dulu mengaku pintar;kalo kamu gak bisa ngaji;Memetik mawar di pagar akar;Air mengalir ke dalam kuali;;
13;Bintang pagi bersinar terang;Menyapa fajar di ufuk timur;Jika ingin hidup gemilang;Berusaha keras tanpa mundur;Sayap mengepak burung elang;Hinggap di atas tanah yang subur;;
14;Bila memandang ke muka laut;Nampak sampan mudik ke hulu;Bila terkenang mulut menyebut;Budi yang baik ingat selalu;Angin berhembus menyapu kabut;Air mengalir di bawah waru;;
15;Kain batik banyak sekodi;Perca banyak dalam goni;Turun ke sawah menanam padi;Bermain lumpur seperti petani;Harum semerbak bunga melati;Mekar merona di taman asri;;
16;Pohon kelapa melambai angin;Buahnya muda segar rasanya;Jika hidup penuh yakin;Rezeki datang bersama doa;Berhembus angin di musim dingin;Awan berarak ke samudera;;
17;Siapa yang tidak memegang panah;Pasti dia tidak punya ancaman;Siapa yang tidak memegang amanah;Pasti dia tidak membawa iman;Air jernih di dalam tadah;Ikan berenang di kolam taman;;
18;jalanjalan ke kota padang;perut lapar memakan roti;lisan tajam bagaikan pedang;hatihati jangan sampai menyakiti;Ombak bergulung di tepi karang;Camar terbang tinggi sekali;;
19;ke sawah membawa pahat;pulangnya bawa seikat kayu;ada kamis sebelum jumat;dan semua orang juga tahu;Hujan turun dengan lebat;Angin bertiup ke pohon bambu;;
20;Begitu indah alam semesta;Lebih indah dari mutiara;Apakah tanda hatinya cinta;Penuh kasih bersikap mesra;Indah nian warna semesta;Cahaya surya di khatulistiwa;;
21;ambil manggis dengan galah;masukkan manggis dalam kardus;dari anakmu yang banyak salah;meminta maaf dengan tulus;Padi menguning di tengah sawah;Air mengalir ke arah arus;;
22;Pergi ke sawah menanam padi;Singgah sebentar membeli kain;Kalau belajar sungguh di hati;Ilmu didapat manfaatnya lain;Hinggap nuri di dahan jati;Embun menetes di pucuk beringin;;
23;ada rabu setelah selasa;pergi memancing hari dah senja;teruslah berjaya wahai indonesia;di bumi pertiwi goreskan cerita;Mentari terbit di ufuk mulia;Ombak memecah di karang permata;;
