no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,score_source
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung pipit hinggap di dahan tua
Pagi hari memetik melati",2,2,1,1.000000,0.000000,11,10,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Chat-GPT,few_shot,Hasil Few-shot,"Burung tempua hinggap di kanya
Air jernih mengalir ke tepi",2,2,1,1.000000,0.000000,10,10,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Gemini,zero_shot,Hasil Zero-shot,"Memetik buah manis rasanya
Dipetik satu di pagi hari",2,2,1,1.000000,0.000000,10,10,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Gemini,few_shot,Hasil Few-shot,"Harum baunya bunga cempaka
Pohon tumbuh di tepi kali",2,2,1,1.000000,0.000000,9,9,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Claude,zero_shot,Hasil Zero-shot,"Pergi ke pasar beli sayurnya
Sayur segar dibawa pagi",2,2,1,1.000000,0.000000,10,9,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Claude,few_shot,Hasil Few-shot,"Pergi ke ladang membawa cangkulnya
Singgah sebentar di tepi kali",2,2,1,1.000000,0.000000,11,10,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Budi elok menggembirakan
Membuat rupa diri manis",2,2,0,1.000000,0.250000,9,9,9,9,0,1,auto_clr_leakage
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Bunga melati tumbuh di taman
Harumnya semerbak sepanjang hari",2,2,0,1.000000,0.000000,10,11,9,9,0,,manual_pending
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Sailor2,zero_shot,Hasil Zero-shot,"Budi elok membawa senyum
Semua hati rasa senang selalu",2,2,0,1.000000,0.625000,9,12,9,9,0,1,auto_clr_leakage
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",Sailor2,few_shot,Hasil Few-shot,"Di halaman luas rumput hijau,
Harum bunga melati semerbak pagi.",2,2,0,1.000000,0.000000,10,12,9,9,0,,manual_pending
