no,id_data_asli,model,setting,bertscore_p,bertscore_r,bertscore_f1
1,1399,Chat-GPT,zero_shot,0.715612530708313,0.7004741430282593,0.7079624533653259
1,1399,Chat-GPT,few_shot,0.7033531665802002,0.7093712091445923,0.7063493728637695
1,1399,Gemini,zero_shot,0.7227057814598083,0.7014663815498352,0.7119277119636536
1,1399,Gemini,few_shot,0.7385279536247253,0.7357974052429199,0.7371601462364197
1,1399,Claude,zero_shot,0.7251936197280884,0.7194983959197998,0.7223348021507263
1,1399,Claude,few_shot,0.7057141661643982,0.7199569940567017,0.7127644419670105
1,1399,Llama 3.1: 8B,zero_shot,0.7108801603317261,0.7087710499763489,0.7098240256309509
1,1399,Llama 3.1: 8B,few_shot,0.763930082321167,0.7452285885810852,0.7544634938240051
1,1399,Sailor2,zero_shot,0.7132322192192078,0.708673357963562,0.7109455466270447
1,1399,Sailor2,few_shot,0.6979804039001465,0.6921042203903198,0.6950298547744751
1,1399,DeepSeek-R1,zero_shot,0.7243263721466064,0.7260127663612366,0.7251686453819275
1,1399,DeepSeek-R1,few_shot,0.7154644131660461,0.7096685171127319,0.7125546932220459
2,185,Chat-GPT,zero_shot,0.7131776809692383,0.7231777310371399,0.7181429266929626
2,185,Chat-GPT,few_shot,0.6995115280151367,0.707179844379425,0.7033248543739319
2,185,Gemini,zero_shot,0.715573787689209,0.6940886974334717,0.7046675086021423
2,185,Gemini,few_shot,0.72025465965271,0.7038331031799316,0.7119491696357727
2,185,Claude,zero_shot,0.7271559238433838,0.7351158261299133,0.7311142086982727
2,185,Claude,few_shot,0.6858203411102295,0.6910245418548584,0.688412606716156
2,185,Llama 3.1: 8B,zero_shot,0.6722512245178223,0.6563897132873535,0.6642258167266846
2,185,Llama 3.1: 8B,few_shot,0.6574977040290833,0.6438541412353516,0.6506044268608093
2,185,Sailor2,zero_shot,0.6786725521087646,0.6829565763473511,0.6808078289031982
2,185,Sailor2,few_shot,0.6986046433448792,0.6887282729148865,0.6936312913894653
2,185,DeepSeek-R1,zero_shot,0.7095269560813904,0.688914954662323,0.699069082736969
2,185,DeepSeek-R1,few_shot,0.7093079090118408,0.6996137499809265,0.7044274806976318
3,3264,Chat-GPT,zero_shot,0.6625231504440308,0.6604900360107422,0.6615050435066223
3,3264,Chat-GPT,few_shot,0.6867750287055969,0.7000036239624023,0.6933262944221497
3,3264,Gemini,zero_shot,0.6788997054100037,0.6906224489212036,0.6847109198570251
3,3264,Gemini,few_shot,0.6586928367614746,0.6642636060714722,0.6614664793014526
3,3264,Claude,zero_shot,0.7139952182769775,0.7173584699630737,0.7156729102134705
3,3264,Claude,few_shot,0.7066755890846252,0.7126067876815796,0.7096287608146667
3,3264,Llama 3.1: 8B,zero_shot,0.6812437176704407,0.6954324245452881,0.6882649660110474
3,3264,Llama 3.1: 8B,few_shot,0.690009355545044,0.7040823698043823,0.6969748139381409
3,3264,Sailor2,zero_shot,0.657848596572876,0.6733543872833252,0.6655111908912659
3,3264,Sailor2,few_shot,0.6660608053207397,0.6651738286018372,0.6656169891357422
3,3264,DeepSeek-R1,zero_shot,0.6688104271888733,0.6877831220626831,0.6781640648841858
3,3264,DeepSeek-R1,few_shot,0.6799835562705994,0.6881898641586304,0.684062123298645
4,4515,Chat-GPT,zero_shot,0.8607618808746338,0.8504254817962646,0.8555624485015869
