isi_input_model,sampiran_generated,no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,model,setting,setting_label,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,s_judge_norm,xrasa_final
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Pagi ceria membawa bahagia
Burung pipit pulang sebelum mati",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.375,12,11,11,11,0,1,0.000000,0.500000
"Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Burung punai hinggap di dahan
Air jernih mengalir di hulu",26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,9,10,11,9,0,4,0.750000,0.375000
"Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Burung punai hinggap di dahan
Air mengalir ke sawah desa",51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,9,10,0,4,0.750000,0.875000
"peran ibu bapak dalam dunia
bagaikan bulan dan matahari","Mentari pagi menyinari dunia
Bintang terang menemani hari",36,5563,Pantun kiasan dan peribahasa,"pohon kelapa ditanam disana
berdekatan dengan pohon kenari
peran ibu bapak dalam dunia
bagaikan bulan dan matahari","pohon kelapa ditanam disana
berdekatan dengan pohon kenari",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.142857,12,10,11,10,0,1,0.000000,0.500000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Kalau ke taman memetik melati
Air mengalir di tepi jerami",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.142857,11,11,10,8,0,2,0.250000,0.125000
"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Burung tekukur mencari makan
Air mengalir jernih dan segar",32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,10,0,4,0.750000,0.875000
"Coba tebak apakah ini
Selalu naik tak pernah turun","Mari bermain bersama kini
Air pasang tak pernah turun",95,6446,Pantun teka-teki,"Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun
Coba tebak apakah ini
Selalu naik tak pernah turun","Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.375,10,9,9,10,0,1,0.000000,0.500000
"Harta dunia jangan bermegah
Budi dan amal penentu mutu","Bunga indah jangan bermegah
Rotan dianyam bermutu halus",63,1505,Pantun kehidupan dan renungan,"Burung camar terbang rendah
Menyambar ikan di laut biru
Harta dunia jangan bermegah
Budi dan amal penentu mutu","Burung camar terbang rendah
Menyambar ikan di laut biru",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.25,9,10,10,10,0,1,0.000000,0.000000
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","Bintang berkelip di langit lebat
Tekun belajar mencari ilmu",17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.142857,10,10,12,10,0,1,0.000000,0.500000
"Jika ingin hidup dikenang
Budi baik jadi pusaka","Burung merpati terbang tenang
Buah nangka tersusun di baka",2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,9,9,0,4,0.750000,0.875000
"tak kenal maka tak sayang
marilah kita berkenalan","Burung datang hinggap di parang
Mari singgah minum jamuan",35,2330,Pantun kiasan dan peribahasa,"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan","hendak berlayar hari dah petang
tepikan biduk kucutkan sampan",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,8,9,0,2,0.250000,0.625000
"nenek murung jadi tertawa
melihat kakek main kelereng","Pagi cerah membawa ceria
Burung gereja terbang dilereng",87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,9,10,0,3,0.500000,0.750000
"sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","Sabar menanti musim kemarau
Burung merpati pulang ke mana",47,4689,Pantun cinta dan kasih,"pasar sawang beli lawang
salak pondoh sepat rasanya
sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","pasar sawang beli lawang
salak pondoh sepat rasanya",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.285714,10,10,9,11,0,1,0.000000,0.000000
"kalau hidup hendak selamat
ayah dan bunda kita muliakan","Kalau berlayar bawalah pelamat
Bunga kenanga harum semalaman",61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.142857,11,11,9,11,0,2,0.250000,0.625000
"Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Jika petang langit terbentang
Petik kenanga untuk berkarya",67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.285714,9,10,9,10,0,1,0.000000,0.500000
"adik menangis sambil tertawa
melihat kambing pakai sepatu","Burung pipit hinggap tertawa
Anak bebek memakai sepatu",90,55,Pantun jenaka,"ada pohon di tepi rawa
daunnya kering dimakan kutu
adik menangis sambil tertawa
melihat kambing pakai sepatu","ada pohon di tepi rawa
daunnya kering dimakan kutu",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.25,9,10,10,10,0,1,0.000000,0.500000
"Jika hidup ingin diberkati
Pelihara adat dan pegangan","Bunga melati semerbak wangi
Perahu nelayan menuju tepian",29,6149,Pantun adat dan budaya,"Sirih kuning disusun rapi
Pinang dibelah dua bahagian
Jika hidup ingin diberkati
Pelihara adat dan pegangan","Sirih kuning disusun rapi
Pinang dibelah dua bahagian",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,12,10,10,0,4,0.750000,0.875000
"Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Jika melaut mencari rezeki
Bunga melati tumbuh di halaman jiwa",69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,0.852344,0.285714,11,13,9,10,1,1,0.000000,0.426172
"setelah bermain bersihkan kamar
jangan sampai berantakan","Sebelum pulang petik mawar
Halaman rumah jangan berantakan",97,6235,Pantun anak-anak,"sungguh indah bunga mawar
harum semerbak di tepi taman
setelah bermain bersihkan kamar
jangan sampai berantakan","sungguh indah bunga mawar
harum semerbak di tepi taman",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.285714,9,11,11,8,0,1,0.000000,0.500000
"Jika hidup ingin tenang
Jangan suka mencari salah","Burung bangau terbang tenang
Jangan mudah memetik getah",8,120,Pantun nasihat dan budi pekerti,"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah","Air hujan turun ke ladang
Menyuburkan padi di sawah",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.25,8,9,8,9,0,1,0.000000,0.500000
"Jika hidup ingin berkah
Rajin ibadah setiap hari","Bunga cempaka semerbak berkah
Mentari pagi bersinar cerah",18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.125,10,10,8,10,0,1,0.000000,0.000000
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Padi menguning tampak terpuji
Berjalan santun dalam pergaulan",12,315,Pantun nasihat dan budi pekerti,"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Anak dara menampi padi
Angin bertiup perlahan-lahan",Chat-GPT,few_shot,Hasil Few-shot,2,2,1,1.0,0.285714,10,10,9,11,0,1,0.000000,0.500000
"ketika ditanya semuanya diam
karena kentut tak berbunyi","Burung pipit terbang diam
Daun kering jatuh menguning",88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.142857,8,9,12,9,0,1,0.000000,0.000000
"banyak harta miskin ilmu
bagai rumah tidak berdinding","Banyak padi tersimpan di lumbung
Pagar bambu tegak mengeliling",40,6548,Pantun kiasan dan peribahasa,"tumbuh merata pohon tebu
pergi ke pasar membeli daging
banyak harta miskin ilmu
bagai rumah tidak berdinding","tumbuh merata pohon tebu
pergi ke pasar membeli daging",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.166667,10,10,8,9,0,2,0.250000,0.125000
"kakiku empat tak punya badan
coba tebak siapakah aku","Meja kayu berkaki empat
Cobalah jawab jangan ragu",93,1014,Pantun teka-teki,"berpindah tempat ke kota medan
jangan lupa membawa baju
kakiku empat tak punya badan
coba tebak siapakah aku","berpindah tempat ke kota medan
jangan lupa membawa baju",Chat-GPT,few_shot,Hasil Few-shot,2,2,0,1.0,0.125,9,9,10,10,0,1,0.000000,0.000000
"ketika ditanya semuanya diam
karena kentut tak berbunyi","Mentari pagi mulai redup
Daun keladi jatuh ke kolam",88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,9,10,12,9,0,2,0.250000,0.125000
