id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
1;kalau tuan berbudi bahasa;cobalah tebak di dalam peti;wahai pahlawan tanpa tanda jasa;selamat datang di sekolah kami;Daun sirih merah bertemu angin;Pucuk ilmu melambai hangat cinta;1;Penggunaan frasa 'pucuk ilmu' secara terang-terangan membocorkan konteks pendidikan pada bagian isi. Selain itu, rima akhir sama sekali tidak selaras dengan baris isi
2;Ke pasar membeli roti;Roti manis rasa keju;Katanya rajin introspeksi diri;Salah sedikit menyalahkan kamu;Kupu-kupu terbang di bawah bayang pohon jati;Sayapnya berkilau, mencari cahaya hati;1;Suku kata terlalu panjang, melanggar estetika ringkas sastra lama. Diksi 'cahaya hati' juga membocorkan unsur emosional yang seharusnya hanya ada pada bagian isi
3;Batu halus kini terbelah;Tertancap oleh sebutir panah;Nabi diutus membawa risalah;Jalan hidupnya disebut sunnah;Daun sirih merah berjalin mesra;Seperti lebah madu di bunga cempaka;1;Meskipun citraan sirih dan cempaka cukup klasik, rima akhir (mesra/cempaka) tidak sinkron dengan bunyi isi (risalah/sunnah), sehingga struktur pantunnya patah
4;duduk sekawan gadis jelita;buat santapan untuk pahlawan;tampil lah tuhan kami meminta;madah ucapan kata aluan;Embun pagi di kelopak melati;Bunga senyum menyambut hari;1;Diksi 'bunga senyum' bukan citraan alam murni melainkan metafora yang membocorkan nuansa isi. Secara teknis, rima juga tidak memiliki keselarasan bunyi
5;hujan tipis membasuh taman;bunga segar menebar aroma;cintaku hadir tanpa tuntutan;namunn tulus menjaga rasa;Daun keladi di tepian kali;Rimbun cinta dalam kasih alami;1;Pelanggaran fatal karena kata 'cinta' muncul di sampiran (kebocoran isi). Selain itu, tidak ada keterikatan rima antara sampiran dan isi yang membuatnya layak disebut pantun
6;Pohon sena berdaun lebat;Akar berpaut di tanah pertiwi;Jika adat dijunjung taat;Hidup terpelihara maruah diri;Sungai jernih ikan berenang;Pantun indah budaya lestari;1;Rima gagal total antara 'berenang' dan 'taat'. Selain itu, penggunaan kata 'pantun' dan 'budaya' pada sampiran melanggar kaidah citraan alam murni dalam sastra lama
7;Naik kuda bersama mama;Hendak keliling pinggiran kota;Ada beribu budaya kita punya;Harus lestari di sepanjang masa;Gelombang laut menari bebas;Ombak menghempas pantai emas;1;Secara teknis bukan pantun karena tidak ada keselarasan rima antara sampiran dan isi. Citraan alam yang dibangun tidak memiliki fungsi estetika bunyi
8;Ke cimanggis membeli kopiah;Kopiah indah kan kau dapati;Begitu banyak gadis yang singgah;Hanya dinda yang memikat hati;Bunga melati di tepian sawah;Wanginya lembut mengalun perlahan;2;Baris pertama sudah berima (singgah/sawah), namun baris kedua gagal (perlahan/hati). Struktur sampirannya pincang sehingga nilai puitisnya jatuh
9;pergi sekolah bersama teman;anak perempuan memakai rok;merokok tak baik buat kesehatan;biar aku aja yang merokok;Samar bayang asap tembakau;Bak kabut pagi di puncak gunung;1;Gagal total karena kata 'tembakau' membocorkan isi (merokok) secara eksplisit. Selain itu, tidak ada rima yang menyambung antara sampiran dan isi
10;Hembus pawana bayu terasa;Hati kehendak merasa sepi;Indah buana ciptaan esa;Mengapa tidak dijaga rapi;Sang puncak Himalaya megah;Lautan biru tak henti berbisik;1;Tidak memenuhi syarat rima pantun sama sekali. Diksi 'Himalaya' terasa terlalu modern/spesifik dan tidak natural dalam konteks estetika pantun klasik Melayu
11;bersihkan halaman dengan sapu;basahkan kain bersihkan kaca;anak baik menghormati guru;berbakti jua pada orangtua;Daun kelapa melambai lembut;Pucuk pinang menjulang tinggi;;
12;berburu ke padang datar;dapat rusa si belang kaki;jangan dulu mengaku pintar;kalo kamu gak bisa ngaji;Daun kelapa melambai riang;Ilmu al-Qur'an jadi panduan langkah;;
13;Bintang pagi bersinar terang;Menyapa fajar di ufuk timur;Jika ingin hidup gemilang;Berusaha keras tanpa mundur;Harimau loreng mengaum gagah;Pantang surut, langkah terus maju;;
14;Bila memandang ke muka laut;Nampak sampan mudik ke hulu;Bila terkenang mulut menyebut;Budi yang baik ingat selalu;Daun pandan wangi di tepian sungai;Wanginya tahan sepanjang hari;;
15;Kain batik banyak sekodi;Perca banyak dalam goni;Turun ke sawah menanam padi;Bermain lumpur seperti petani;Sawah terbentang emas berkilau;Lumpur menjadi serupa pelukis alam;;
16;Pohon kelapa melambai angin;Buahnya muda segar rasanya;Jika hidup penuh yakin;Rezeki datang bersama doa;Sungai mengalir, ikan berenang;Air jernih, hati tenang;;
17;Siapa yang tidak memegang panah;Pasti dia tidak punya ancaman;Siapa yang tidak memegang amanah;Pasti dia tidak membawa iman;Daun keladi di tepi kolam;Berkibar tenang menanti hujan;;
18;jalanjalan ke kota padang;perut lapar memakan roti;lisan tajam bagaikan pedang;hatihati jangan sampai menyakiti;Sungai jernih ikan berenang;Lidah halus seperti sutera langit;;
19;ke sawah membawa pahat;pulangnya bawa seikat kayu;ada kamis sebelum jumat;dan semua orang juga tahu;Saat fajar terbit, kabut perlahan pudar;Laksana janji hari berubah tanpa ragu;;
20;Begitu indah alam semesta;Lebih indah dari mutiara;Apakah tanda hatinya cinta;Penuh kasih bersikap mesra;Kupu terbang sayapnya berdua;Di bunga raya mekar sempurna;;
21;ambil manggis dengan galah;masukkan manggis dalam kardus;dari anakmu yang banyak salah;meminta maaf dengan tulus;Sungai bengawan mengalir tenang;Pada muara memaafkan terpancar;;
22;Pergi ke sawah menanam padi;Singgah sebentar membeli kain;Kalau belajar sungguh di hati;Ilmu didapat manfaatnya lain;Sungai mengalir tak kenal berhenti;Kelopak melati seputih mutiara;;
23;ada rabu setelah selasa;pergi memancing hari dah senja;teruslah berjaya wahai indonesia;di bumi pertiwi goreskan cerita;Sungai Musi mengalir deras;Bertemu laut di muara megah;;
24;setelah mandi bersihkan kasur;sebelum pergi ke sekolah;kalo ompong tertawa menyembur;teman di sebelah pasti marah;Senyum gajah, geramnya meriah;Tertawa lebar, gigi terlihat jelas;;
25;jikalau ada bangunan roboh;maka benahi supaya benar;jikalau ada teman yang bodoh;maka bimbinglah supaya pintar;Daun pucuk merimbun hijau;Bunga melati mekar di taman;;
26;Pohon mahoni lurus batangnya;Daunnya rimbun tempat berteduh;Jika hidup jaga akhlaknya;Langkah pasti terasa teguh;Gelombang laut tenang berbisik;Karang kokoh di dasar samudra;;
27;pisau menggores menjadi luka;rasanya sakit amatlah pedih;cukup sekian dari saya;saya haturkan terima kasih;Sungai bengawan mengalir tenang;Kado akhir perpisahan tulus;;
28;pagi hari langsung sarapan;minum teh dan makan roti kelapa;dari semua mata pelajaran;hanya olahraga yang aku suka;Gelanggang badminton cahaya terang;Raket berkilau di setiap langkah gilang;;
29;bunga melur dalam jambangan;di tepi kolam menjadi hiasan;kucipta pantun buat renungan;semarak nilam empunya wawasan;Nilam berkilau di perbukitan hijau;Gemerlapnya meraih langit biru;;
30;Air telaga ditimba petang;Disimpan dalam kendi tua;Jika ingin hidup dikenang;Budi baik jadi pusaka;Daun kelapa melambai lembut;Pucuk pandan berkilau hijau;;
31;Pelangi indah sesudah hujan;Warna lembut menghias angkasa;Jika kasih tiada sempadan;Mengapa luka masih terasa;Sungai mengalir, tak pernah berhenti;Lautan biru, cinta kita sejati;;
32;pergi haji ke kota mekah;jangan lupa bawa kedondong;orang yang rajin sedekah;insya aallah masuk surga dong;Daun kencana jatuh perlahan;Layu di tanah, penuh kemuliaan;;
33;istirahat di dekat perhentian;lebih nyaman duduk di taman;cewek cantik dan pengertian;cocoknya dijadikan sebagai teman;Daun keladi berseri pagi;Bisik angin berbisik lembut;;
34;amalan membaca amalan mulia;dituntut agama dan juga bangsa;insan membaca banyak ilmunya;bekalan hidup sepanjang masa;Ilmu dari laut, seperti ombak menghempas;Setiap gelombangnya, hikmah yang terkandung;;
35;Pagi hari menimba sumur;Air jernih disimpan kendi;Jika ingin hati bersyukur;Terima takdir dengan rela hati;Embun pagi di pucuk kelapa;Layu senja pada daun jambu;;
36;Pohon ara berdaun lebat;Menjadi teduh kala siang;Jika usaha dibuat hebat;Cita tinggi bukan sekadar bayang;Gelombang ombak menari megah;Riaknya membawa impian ke puncak;;
37;apalah tanda batang tebu;batang tebu halus uratnya;apalah tanda orang berilmu;orang berilmu halus sifatnya;Daun kantan harum di tepi rawa;Berbisik lembut menuntun jiwa;;
38;Ke Purwodadi membeli barang;Barang langka modelnya lama;Jangan peduli gunjingan orang;Asal benar sesuai agama;Gelombang samudera tak henti berbisik;Ombak setia pada arah angin bertiup;;
39;Jangan suka mencabut padi;Kalau dicabut hilang buahnya;Jangan suka menyebut budi;Kalau disebut hilang tuahnya;Daun pandan wangi di tepian sungai;Layu sekejap, harum abadi terus;;
40;jika kamu pergi ke dusun;jangan lupa membawa beras;belajarlah kamu dengan tekun;agar nanti jadi naik kelas;Daun kelapa melambai lembut;Lautan ilmu tak pernah surut;;
41;Kalau tahu peria itu pahit;Tidak ku gulai dengan petola;Kalau tahu bercinta itu sakit;Tidak ku mulai dari semula;Ranting patah jatuh berderak;Kupu-kupu terbang tak pernah singgah;;
42;di bandar banyak yang terpaku;hilir mudik kanan dan kiri;tak kan pudar kasih sayangku;tambah erat hari ke hari;Sungai jernih mengalir tenang;Lintas batu, cinta tetap gemilang;;
43;bambu rotan menjadi kursi;rumput ilalang menjadi atap;sejak ayam itu jadi polisi;banyak elang yang cepat tertangkap;Fajar menyingsing, fajarnya terbit;Burung merpati menghantar pesan;;
44;berjalan kaki ke sekolah;jangan sampai datang terlambat;selamat datang rabu yang cerah;selamat pagi untuk para sahabat;Embun pagi menari di kelopak melati;Sinar mentari menghangatkan bumi ini;;
45;jelekjelekin user tik tok;emangnya kamu yg paling benar;tak mengapa banyak yg mengolokolok;mending kita banyakin istighfar;Sungai jernih berkilauan cahaya;Pasir emas di tepi pantai terbentang;;
46;Bunga melati harum baunya;Disiram embun waktu pagi;Jika budi elok lakunya;Semua orang senang hati;Sungai jernih ikan berenang;Pohon rimbun burung bernyanyi;;
47;kalau hendak memangsa tikus;carilah di kolong kolong parit;kalau tidak cermat dan serius;ingin pintar sangatlah sulit;Ilmu padi rendah merunduk;Bijaknya petani mengajarkan hikmat;;
48;dari mana hendak ke mana;dari desa hendak ke kota;jika boleh saya bertanya;bunga yang cantik siapa yang punya;Bunga teratai di kolam jernih;Harumnya semerbak tumbuh dalam hati;;
49;Langit luas membiru tenang;Burung camar terbang beriring;Jika kasih bukan sekadar bayang;Mengapa luka masih beriring;Daun surga menari di angin;Akar cinta mengukir kenangan;;
50;tukang becak memakai topi;berwarna hijau di pinggir jalan;hadirmu tak seindah mimpi;saat kau masih dalam khayalan;Embun pagi di daun kelapa;Bersinar lembut, menyegarkan jiwa;;
51;Dina merenung suaranya sumbang;Duduk bersantai dan telah pasrah;Dia berdengung tapi bukan kumbang;Punya belalai namun bukan gajah;;;;
52;pulang sekolah hari hujan;basah kuyup si supir kenek;semangat dipupuk hendak ujian;agar nilaimu tidak jelek;;;;
53;harga mangga sembilan ribu;ditambah pula beli apel merah;jika ingin disayang ibu;jangan sering buatnya marah;;;;
54;memasak air ambillah kayu;jangan ambil si akar rotan;jauh dari rumah mengingatkanku;akan kerinduan kampung halaman;;;;
55;orang sakit naik kursi roda;mengayuh sendiri dengan tangan;kecantikan tak menjamin bahagia;akhlakmu lah yang membuatku bertahan;;;;
56;berguna hidup karena beradat;adat lembaga jadi pakaian;sempurna hidup karena syahadat;syahadat dijaga mengokohkan iman;;;;
57;ke kebun panen daun keladi;untuk dimasak sore hari;esok hari telah menanti;tidurlah nyenyak malam ini;;;;
58;Pergi ke pasar membeli ikan;Ikan segar jadi hidangan;Belajar sabar dalam tekanan;Agar kuat menghadapi cobaan;;;;
59;Burung walet terbang berputar;Mencari makan di udara;Jika ingin hidupmu benar;Jaga amanah dengan setia;;;;
60;Bunga tanjung di tepi pagar;Harumnya lembut menusuk rasa;Jika hidup mahu segar;Hidupkan cinta pada budaya;;;;
61;Ranting sena berbalut embun;Bunga cempaka gugur sekuntum;Jika santun jadi pantun;Indah tutur lembut berhukum;;;;
62;hari ini menjual jagung;hari esok menjual jelai;hari ini kita berkampung;hari esok kita bercerai;;;;
63;Duka tersentak renggut ceria;Selaksa tanya bantah problema;Ketika jejak di sudut usia;Tersisa hanya sebuah nama;;;;
64;Sirih berlipat sirih pinang;Sirih dari Pulau Mutiara;Adat dijunjung pusaka dikenang;Budi bahasa penyeri negara;;;;
65;Kayu meranti dibuat papan;Disusun rapi jadi dinding;Jika ingin capai harapan;Jangan malas belajar dan berunding;;;;
66;tamasya ke kota bogor;jangan lupa ke kebun raya;meski kau sudah tersohor;jangan lupakan ayah bunda;;;;
67;amalan membaca budaya mulia;ilmu bertambah amat berharga;hidup bahagia dengan membaca;jadikan membaca khazanah bangsa;;;;
68;pohon jati kuat kayunya;pohon nyiur tinggi batangnya;murid pandai banyak ilmunya;bekal bagi nusa bangsanya;;;;
69;ambil bambu jadikan jembatan;jembatan tempat jalannya si tuan;merantau jauh dari kalimantan;belajar bersama dengan kalian;;;;
70;buah kelat waktu dirasa;meludah lagi kalau tak nyaman;wahai pejabat serta pengusaha;bantulah kami para seniman;;;;
71;Pergi berlayar saat fajar;Ombak kecil memecah perahu;Jika usaha terus dikejar;Sukses akan datang padamu;;;;
72;buah durian banyak durinya;isinya lunak bijinya keras;sudah dimakan tidak meminta;kini hendak diberi seulas;;;;
73;ke pontianak beli kopiah;kopiah indah kau dapati;begitu banyak gadis yang singgah;hanya adinda yang memikat hati;;;;
74;Pergi ke taman memetik delima;Delima merah manis rasanya;Ilmu dan adab harus bersama;Agar hidup penuh maknanya;;;;
75;jika ada jarum yang patah;jangan disimpan didalam peti;jika ada kata yang salah;jangan di simpan dalam hati;;;;
76;samudera hindia airnya biru;dilewati oleh kapal feri;cinta terjalin di malam itu;saat tahun mulai berganti;;;;
