id,text_pantun,baris_sampiran,baris_isi,skema_rima,suku_kata_baris_1,suku_kata_baris_2,suku_kata_baris_3,suku_kata_baris_4,jumlah_kata_baris_1,jumlah_kata_baris_2,jumlah_kata_baris_3,jumlah_kata_baris_4
1,Abdul Muis pengarang terbilang\nNovel ditulis zaman dua puluhan\nBlack metal ajaran songsang\nMengapa sekarang baru dikesan,Abdul Muis pengarang terbilang\nNovel ditulis zaman dua puluhan,Black metal ajaran songsang\nMengapa sekarang baru dikesan,a-b-a-b,10,12,8,11,4,5,4,4
2,acara transtv kolak manis\nada ucup ada juga si pitung\ncintaku padamu takkan habis\nkarena cintaku ini tak terhitung,acara transtv kolak manis\nada ucup ada juga si pitung,cintaku padamu takkan habis\nkarena cintaku ini tak terhitung,a-b-a-b,8,11,10,12,4,6,4,5
3,aceh terkenal si bungong jeumpa\ndijadikan pengiring tari saman\nadik cantik siapa yang punya\nbolehkan kita untuk berkenalan,aceh terkenal si bungong jeumpa\ndijadikan pengiring tari saman,adik cantik siapa yang punya\nbolehkan kita untuk berkenalan,a-b-a-b,11,11,10,11,5,4,5,4
4,ada anak kecil bermain batu\nbatu dilempar masuk ke sumur\nbelajar itu tak kenal waktu\njuga tidak memandang umur,ada anak kecil bermain batu\nbatu dilempar masuk ke sumur,belajar itu tak kenal waktu\njuga tidak memandang umur,a-b-a-b,11,10,10,9,5,5,5,4
5,ada anak seorang petani\nsuka memakai rok mini\njika saja kamu ada di sini\nmungkin aku tak serindu ini,ada anak seorang petani\nsuka memakai rok mini,jika saja kamu ada di sini\nmungkin aku tak serindu ini,a-a-a-a,10,8,11,10,4,4,6,5
6,Ada angin menghempas tomat\nBuah semangka di dalam goa\nJika ingin hidup selamat\nJangan lupa sering berdoa,Ada angin menghempas tomat\nBuah semangka di dalam goa,Jika ingin hidup selamat\nJangan lupa sering berdoa,a-b-a-b,9,10,9,9,4,5,4,4
7,Ada arang merah membara\nArang dibuang tengah telaga\nAnugerah Allah tiada terkira\nMemberi kita hidup yang berharga,Ada arang merah membara\nArang dibuang tengah telaga,Anugerah Allah tiada terkira\nMemberi kita hidup yang berharga,a-a-a-a,9,10,12,11,4,4,4,5
8,ada baju di dalam lemari\nbaju dipakai untuk ke pesta\nselamat berjumpa pahlawan kami\nsemoga banyak kisah manis tercipta,ada baju di dalam lemari\nbaju dipakai untuk ke pesta,selamat berjumpa pahlawan kami\nsemoga banyak kisah manis tercipta,a-b-a-b,10,10,11,12,5,5,4,5
9,ada banyak pulau di indonesia\nsalah satunya tanah papua\nbanyak cara agar hidup bahagia\ncukup ikuti nasehat orang tua,ada banyak pulau di indonesia\nsalah satunya tanah papua,banyak cara agar hidup bahagia\ncukup ikuti nasehat orang tua,a-a-a-a,12,10,12,12,5,4,5,5
10,ada beruang mencuri telur\nmelihat mata berwarna ungu\ndimana tuan hendak tidur\ndi atas dada di rongga susu,ada beruang mencuri telur\nmelihat mata berwarna ungu,dimana tuan hendak tidur\ndi atas dada di rongga susu,a-b-a-b,10,10,9,10,4,4,4,6
11,ada bhiksu sedang bertapa\nsangat khidmat meninggalkan dunia\nwahai anak janganlah lupa\nmenabung sumber kekayaan harta,ada bhiksu sedang bertapa\nsangat khidmat meninggalkan dunia,wahai anak janganlah lupa\nmenabung sumber kekayaan harta,a-a-a-a,9,11,9,11,4,4,4,4
12,ada buaya berjumlah lima\npadang pasir banyak unta\nmain game jangan lamalama\nnanti rusak kedua mata,ada buaya berjumlah lima\npadang pasir banyak unta,main game jangan lamalama\nnanti rusak kedua mata,a-a-a-a,10,8,10,9,4,4,4,4
13,ada buaya jangan diganggu\nbuaya tidur tak punya nama\nsudah lama aku menunggu\nkapan cintaku kau terima,ada buaya jangan diganggu\nbuaya tidur tak punya nama,sudah lama aku menunggu\nkapan cintaku kau terima,a-b-a-b,10,10,9,9,4,5,4,4
14,ada budak membuang dedak\npenuh setimba di celah batu\nberdua tidak bertiga pun tidak\nkekasih hamba hanyalah satu,ada budak membuang dedak\npenuh setimba di celah batu,berdua tidak bertiga pun tidak\nkekasih hamba hanyalah satu,a-b-a-b,9,10,11,10,4,5,5,4
15,ada bulan ada matahari\nselalu setia kepada bumi\nbuat apa dikejar lagi\njika tidak dipedulikan lagi,ada bulan ada matahari\nselalu setia kepada bumi,buat apa dikejar lagi\njika tidak dipedulikan lagi,a-a-a-a,10,11,9,11,4,4,4,4
16,ada burung tersangkut kawat\ningin terbang ke tempat jauh\nku bertekad ingin jadi perawat\nmenjaga orang sakit hingga sembuh,ada burung tersangkut kawat\ningin terbang ke tempat jauh,ku bertekad ingin jadi perawat\nmenjaga orang sakit hingga sembuh,a-b-a-b,9,9,11,11,4,5,5,5
17,Ada cambuk ada cemeti\nSimpan satu di dalam peti\nJaga akhlak budi pekerti\nTabiat buruk segera diganti,Ada cambuk ada cemeti\nSimpan satu di dalam peti,Jaga akhlak budi pekerti\nTabiat buruk segera diganti,a-a-a-a,9,9,9,11,4,5,4,4
18,ada covid saat lebaran\nlebarannya beda dgn tahun lalu\nlamalama aku capek pacaran\nketemunya yang ndak serius mulu,ada covid saat lebaran\nlebarannya beda dgn tahun lalu,lamalama aku capek pacaran\nketemunya yang ndak serius mulu,a-b-a-b,9,11,11,11,4,5,4,5
19,ada di sana dan di sini\nmereka pada baca buku\nkalau lagi sendiri gini\nrindu selalu menjajah diriku,ada di sana dan di sini\nmereka pada baca buku,kalau lagi sendiri gini\nrindu selalu menjajah diriku,a-b-a-b,9,9,9,11,6,4,4,4
20,ada di tempat persinggahan\ndia bertemu sama gareng\nngeliat dari caramu jalan\nkeknya kita cocok jalan bareng,ada di tempat persinggahan\ndia bertemu sama gareng,ngeliat dari caramu jalan\nkeknya kita cocok jalan bareng,a-b-a-b,9,9,10,10,4,4,4,5
21,ada di tuan pakai celana\nmelihat bintang di malam hari\njikalau tuan memang bijaksana\nbinatang apa yang tanduknya di kaki,ada di tuan pakai celana\nmelihat bintang di malam hari,jikalau tuan memang bijaksana\nbinatang apa yang tanduknya di kaki,a-b-a-b,10,10,11,12,5,5,4,6
22,ada harta tidak terjaga\nada peti tidak terkunci\nbahana cinta anak remaja\nsekejap kasih sekejap benci,ada harta tidak terjaga\nada peti tidak terkunci,bahana cinta anak remaja\nsekejap kasih sekejap benci,a-b-a-b,9,9,10,10,4,4,4,4
23,ada hewan namanya keledai\nkeledai jalan pergi ke pantai\nkalau ingin jadi pandai\nharap adek tak suka lalai,ada hewan namanya keledai\nkeledai jalan pergi ke pantai,kalau ingin jadi pandai\nharap adek tak suka lalai,a-a-a-a,10,10,8,9,4,5,4,5
24,ada jarum dan juga peniti\njangan ditusuk pastilah sakit\nsesama teman jangan berkelahi\ntak ada guna badanpun sakit,ada jarum dan juga peniti\njangan ditusuk pastilah sakit,sesama teman jangan berkelahi\ntak ada guna badanpun sakit,a-b-a-b,10,10,11,10,5,4,4,5
25,ada kado indah dan bagus\ndi dalam kotak tidak terpijak\nbentuknya indah dan bagus\ntapi anak fungsi diinjak,ada kado indah dan bagus\ndi dalam kotak tidak terpijak,bentuknya indah dan bagus\ntapi anak fungsi diinjak,a-b-a-b,9,10,8,9,5,5,4,4
26,ada kain mengelap manekin\nsudah basah jangan dibuang\ngunakan waktu sebaik mungkin\nkesempatan baik tidak terulang,ada kain mengelap manekin\nsudah basah jangan dibuang,gunakan waktu sebaik mungkin\nkesempatan baik tidak terulang,a-b-a-b,10,9,10,11,4,4,4,4
27,ada kambing dikejar kalong\nkambing berlari sampai kesasar\njanganlah engkau suka berbohong\nsebab bohong adalah dosa besar,ada kambing dikejar kalong\nkambing berlari sampai kesasar,janganlah engkau suka berbohong\nsebab bohong adalah dosa besar,a-b-a-b,9,10,10,11,4,4,4,5
28,ada katak sedang melompat\nmelompat indah di tengah sawah\nkerja keraslah setiap saat\ndemi keluarga di rumah,ada katak sedang melompat\nmelompat indah di tengah sawah,kerja keraslah setiap saat\ndemi keluarga di rumah,a-b-a-b,9,10,10,9,4,5,4,4
29,ada kera memanjat kelapa\nkelapa di panjat hari selasa\nsahabat itu saling menjaga\ntempat saling berbagi cerita,ada kera memanjat kelapa\nkelapa di panjat hari selasa,sahabat itu saling menjaga\ntempat saling berbagi cerita,a-a-a-a,10,11,10,10,4,5,4,4
30,ada kerajinan kayu juga rotan\nkeduanya terdapat di hutan\nhormati gurumu dan sayangi teman\nbegitulah ciri murid budiman,ada kerajinan kayu juga rotan\nkeduanya terdapat di hutan,hormati gurumu dan sayangi teman\nbegitulah ciri murid budiman,a-a-a-a,12,10,12,11,5,4,5,4
31,ada kijang berjalan di hutan\nsampailah ia ke kebun kosong\nada seorang bujang berlarian\nkarena dengar anjing menggonggong,ada kijang berjalan di hutan\nsampailah ia ke kebun kosong,ada seorang bujang berlarian\nkarena dengar anjing menggonggong,a-b-a-b,10,10,11,10,5,5,4,4
32,ada kucing sedang mengeong\nmeminta makan pada induknya\njika berilmu janganlah sombong\nyang lebih pintar banyak jumlahnya,ada kucing sedang mengeong\nmeminta makan pada induknya,jika berilmu janganlah sombong\nyang lebih pintar banyak jumlahnya,a-b-a-b,9,10,10,10,4,4,4,5
33,ada lagu gundul gundul pacul\ndari jawa ia berasal\nbanyak gaya dalam bergaul\ntanpa bercermin dari mana asal,ada lagu gundul gundul pacul\ndari jawa ia berasal,banyak gaya dalam bergaul\ntanpa bercermin dari mana asal,a-b-a-b,10,9,9,11,5,4,4,5
34,Ada lagu judulnya Bang Toyib\nNggak pulang-pulang bersama Rasyid\nDengarkan suara adzan maghrib\nSegeralah pergi ke dalam masjid,Ada lagu judulnya Bang Toyib\nNggak pulang-pulang bersama Rasyid,Dengarkan suara adzan maghrib\nSegeralah pergi ke dalam masjid,a-b-a-b,10,10,10,11,5,4,4,5
