isi_input_model;sampiran_generated;semantic_bridge_score_llm_1_5;score_source;no;id_data_asli;jenis_pantun;pantun_asli_lengkap;sampiran_asli;model;setting;setting_label;gen_line_count;isi_line_count;r_score;a_score;clr;suku_baris_1;suku_baris_2;suku_baris_3;suku_baris_4;dev_total
"Jika budi elok lakunya
Semua orang senang hati";"Burung pipit hinggap di dahan tua
Pagi hari memetik melati";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;11;10;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Burung tempua hinggap di kanya
Air jernih mengalir ke tepi";5;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Memetik buah manis rasanya
Dipetik satu di pagi hari";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Harum baunya bunga cempaka
Pohon tumbuh di tepi kali";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;9;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Pergi ke pasar beli sayurnya
Sayur segar dibawa pagi";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;9;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Pergi ke ladang membawa cangkulnya
Singgah sebentar di tepi kali";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;11;10;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Bunga melati tumbuh di taman
Harumnya semerbak sepanjang hari";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;11;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Di halaman luas rumput hijau,
Harum bunga melati semerbak pagi.";3;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";Sailor2;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;12;9;9;0
"Jika budi elok lakunya
Semua orang senang hati";"Pantai biru terkena ombak
Taman hijau diingat selamanya";2;manual_pending;1;1399;Pantun nasihat dan budi pekerti;"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati";"Bunga melati harum baunya
Disiram embun waktu pagi";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;11;9;9;0
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Terbang tinggi burung belang
Hingga hinggap di atas paka";4;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;8;9;9;9;0
